StateCode,Sex,YearOfBirth,Name,Number
RI,F,1996,Mariah,9
RI,F,1996,Marisa,9
RI,F,1996,Selena,9
RI,F,1996,Alissa,8
RI,F,1996,Caitlyn,8
RI,F,1996,Felicia,8
RI,F,1996,Jaclyn,8
RI,F,1996,Kyla,8
RI,F,1996,Leslie,8
RI,F,1996,Mercedes,8
RI,F,1996,Tori,8
RI,F,1996,Adriana,7
RI,F,1996,Amelia,7
RI,F,1996,Ashlee,7
RI,F,1996,Cara,7
RI,F,1996,Cheyenne,7
RI,F,1996,Dominique,7
RI,F,1996,India,7
RI,F,1996,Jacquelyn,7
RI,F,1996,Jade,7
RI,F,1996,Karen,7
RI,F,1996,Karissa,7
RI,F,1996,Kate,7
RI,F,1996,Kiara,7
RI,F,1996,Krystal,7
RI,F,1996,Kylie,7
RI,F,1996,Lucy,7
RI,F,1996,Lydia,7
RI,F,1996,Meagan,7
RI,F,1996,Nina,7
RI,F,1996,Theresa,7
RI,F,1996,Zoe,7
RI,F,1996,Adrianna,6
RI,F,1996,Carolyn,6
RI,F,1996,Charlotte,6
RI,F,1996,Ciara,6
RI,F,1996,Dakota,6
RI,F,1996,Dana,6
RI,F,1996,Devon,6
RI,F,1996,Hope,6
RI,F,1996,Jailene,6
RI,F,1996,Joanna,6
RI,F,1996,Kara,6
RI,F,1996,Mallory,6
RI,F,1996,Nichole,6
RI,F,1996,Noelle,6
RI,F,1996,Renee,6
RI,F,1996,Valerie,6
RI,F,1996,Veronica,6
RI,F,1996,Virginia,6
RI,F,1996,Abby,5
RI,F,1996,Autumn,5
RI,F,1996,Breana,5
RI,F,1996,Carissa,5
RI,F,1996,Claudia,5
RI,F,1996,Daisy,5
RI,F,1996,Elisa,5
RI,F,1996,Ella,5
RI,F,1996,Erika,5
RI,F,1996,Francesca,5
RI,F,1996,Gina,5
RI,F,1996,Holly,5
RI,F,1996,Isabel,5
RI,F,1996,Jamilex,5
RI,F,1996,Jill,5
RI,F,1996,Judy,5
RI,F,1996,Justine,5
RI,F,1996,Kasey,5
RI,F,1996,Kassandra,5
RI,F,1996,Kayleigh,5
RI,F,1996,Kira,5
RI,F,1996,Kristina,5
RI,F,1996,Lesley,5
RI,F,1996,Mckenzie,5
RI,F,1996,Mikaela,5
RI,F,1996,Naomi,5
RI,F,1996,Sasha,5
RI,F,1996,Tatiana,5
RI,F,1996,Tessa,5
RI,F,1997,Emily,108
RI,F,1997,Samantha,91
RI,F,1997,Sarah,83
RI,F,1997,Jessica,79
RI,F,1997,Nicole,71
RI,F,1997,Ashley,70
RI,F,1997,Victoria,70
RI,F,1997,Hannah,69
RI,F,1997,Olivia,64
RI,F,1997,Taylor,63
RI,F,1997,Alexandra,61
RI,F,1997,Rachel,60
RI,F,1997,Lauren,59
RI,F,1997,Alyssa,58
RI,F,1997,Amanda,55
RI,F,1997,Elizabeth,55
RI,F,1997,Madison,55
RI,F,1997,Katherine,53
RI,F,1997,Alexis,50
RI,F,1997,Kayla,50
RI,F,1997,Brianna,48
RI,F,1997,Julia,48
RI,F,1997,Megan,46
RI,F,1997,Sabrina,42
RI,F,1997,Abigail,41
RI,F,1997,Jenna,39
RI,F,1997,Brittany,38
RI,F,1997,Jennifer,38
RI,F,1997,Rebecca,37
RI,F,1997,Emma,36
RI,F,1997,Amber,34
RI,F,1997,Haley,34
RI,F,1997,Marissa,33
RI,F,1997,Stephanie,33
RI,F,1997,Catherine,31
RI,F,1997,Laura,31
RI,F,1997,Caroline,30
RI,F,1997,Danielle,30
RI,F,1997,Gabrielle,30
RI,F,1997,Kaitlyn,30
RI,F,1997,Briana,29
RI,F,1997,Mackenzie,29
RI,F,1997,Vanessa,29
RI,F,1997,Michelle,28
RI,F,1997,Courtney,27
RI,F,1997,Shannon,27
RI,F,1997,Allison,26
RI,F,1997,Sydney,26
RI,F,1997,Christina,25
RI,F,1997,Morgan,25
RI,F,1997,Sara,25
RI,F,1997,Melissa,24
RI,F,1997,Erin,23
RI,F,1997,Isabella,23
RI,F,1997,Kathryn,23
RI,F,1997,Michaela,23
RI,F,1997,Gianna,22
RI,F,1997,Jasmine,22
RI,F,1997,Meghan,22
RI,F,1997,Cassandra,21
RI,F,1997,Jillian,21
RI,F,1997,Paige,21
RI,F,1997,Grace,20
RI,F,1997,Jordan,20
RI,F,1997,Katelyn,20
RI,F,1997,Monica,20
RI,F,1997,Kelly,19
RI,F,1997,Molly,19
RI,F,1997,Sophia,19
RI,F,1997,Alison,18
RI,F,1997,Arianna,18
RI,F,1997,Casey,18
RI,F,1997,Kristen,18
RI,F,1997,Leah,18
RI,F,1997,Natalie,18
RI,F,1997,Caitlin,17
RI,F,1997,Caitlyn,17
RI,F,1997,Jacqueline,17
RI,F,1997,Jamie,17
RI,F,1997,Alexa,16
RI,F,1997,Alicia,16
RI,F,1997,Ariana,16
RI,F,1997,Brooke,16
RI,F,1997,Erica,16
RI,F,1997,Kendra,16
RI,F,1997,Maria,16
RI,F,1997,Angela,15
RI,F,1997,Gabriella,15
RI,F,1997,Heather,15
RI,F,1997,Kimberly,15
RI,F,1997,Madeline,15
RI,F,1997,Savannah,15
RI,F,1997,Alexandria,14
RI,F,1997,Amy,14
RI,F,1997,Anna,14
RI,F,1997,Cassidy,14
RI,F,1997,Chloe,14
RI,F,1997,Erika,14
RI,F,1997,Hailey,14
RI,F,1997,Mariah,14
RI,F,1997,Miranda,14
RI,F,1997,Andrea,13
RI,F,1997,Christine,13
RI,F,1997,Hayley,13
RI,F,1997,Tiffany,13
RI,F,1997,Alexia,12
RI,F,1997,Chelsea,12
RI,F,1997,Karissa,12
RI,F,1997,Kelsey,12
RI,F,1997,Mary,12
RI,F,1997,Mikayla,12
RI,F,1997,Rachael,12
RI,F,1997,Sofia,12
RI,F,1997,Tara,12
RI,F,1997,Angelica,11
RI,F,1997,Francesca,11
RI,F,1997,Margaret,11
RI,F,1997,Natalia,11
RI,F,1997,Shelby,11
RI,F,1997,Tayla,11
RI,F,1997,Adriana,10
RI,F,1997,Bianca,10
RI,F,1997,Dana,10
RI,F,1997,Destiny,10
RI,F,1997,Kiana,10
RI,F,1997,Lindsey,10
RI,F,1997,Veronica,10
RI,F,1997,Amelia,9
RI,F,1997,Crystal,9
RI,F,1997,Elena,9
RI,F,1997,Faith,9
RI,F,1997,Isabel,9
RI,F,1997,Kathleen,9
RI,F,1997,Lily,9
RI,F,1997,Autumn,8
RI,F,1997,Bailey,8
RI,F,1997,Bethany,8
RI,F,1997,Breana,8
RI,F,1997,Brenna,8
RI,F,1997,Ciara,8
RI,F,1997,Julie,8
RI,F,1997,Kaitlin,8
RI,F,1997,Kaylee,8
RI,F,1997,Kiara,8
RI,F,1997,Kylie,8
RI,F,1997,Leslie,8
RI,F,1997,Lindsay,8
RI,F,1997,Lydia,8
RI,F,1997,Meaghan,8
RI,F,1997,Raquel,8
RI,F,1997,Sophie,8
RI,F,1997,Tessa,8
RI,F,1997,Valerie,8
RI,F,1997,Zoe,8
RI,F,1997,Anne,7
RI,F,1997,Breanna,7
RI,F,1997,Brittney,7
RI,F,1997,Cheyenne,7
RI,F,1997,Diana,7
RI,F,1997,Dominique,7
RI,F,1997,Gabriela,7
RI,F,1997,Imani,7
RI,F,1997,Jaclyn,7
RI,F,1997,Jade,7
RI,F,1997,Karen,7
RI,F,1997,Karina,7
RI,F,1997,Kassandra,7
RI,F,1997,Katie,7
RI,F,1997,Madeleine,7
RI,F,1997,Marisa,7
RI,F,1997,Melanie,7
RI,F,1997,Meredith,7
RI,F,1997,Mia,7
RI,F,1997,Natasha,7
RI,F,1997,Serena,7
RI,F,1997,Talia,7
RI,F,1997,Tatiana,7
RI,F,1997,Abby,6
RI,F,1997,Adrianna,6
RI,F,1997,Ariel,6
RI,F,1997,Bridget,6
RI,F,1997,Bryanna,6
RI,F,1997,Carly,6
RI,F,1997,Charlotte,6
RI,F,1997,Colleen,6
RI,F,1997,Deja,6
RI,F,1997,Emely,6
RI,F,1997,Fiona,6
RI,F,1997,Hanna,6
RI,F,1997,Holly,6
RI,F,1997,Hope,6
RI,F,1997,Katrina,6
RI,F,1997,Lucy,6
RI,F,1997,Makayla,6
RI,F,1997,Mikaela,6
RI,F,1997,Riley,6
RI,F,1997,Sage,6
RI,F,1997,Sandra,6
RI,F,1997,Aaliyah,5
RI,F,1997,Aliyah,5
RI,F,1997,Ana,5
RI,F,1997,Britney,5
RI,F,1997,Carissa,5
RI,F,1997,Clara,5
RI,F,1997,Cynthia,5
RI,F,1997,Dakota,5
RI,F,1997,Daniela,5
RI,F,1997,Deborah,5
RI,F,1997,Ellen,5
RI,F,1997,Felicia,5
RI,F,1997,Gillian,5
RI,F,1997,Gina,5
RI,F,1997,Isabelle,5
RI,F,1997,Janice,5
RI,F,1997,Jasmin,5
RI,F,1997,Jocelyn,5
RI,F,1997,Jordyn,5
RI,F,1997,Kailey,5
RI,F,1997,Kara,5
RI,F,1997,Lillian,5
RI,F,1997,Lisa,5
RI,F,1997,Meagan,5
RI,F,1997,Miriam,5
RI,F,1997,Nina,5
RI,F,1997,Toni,5
RI,F,1997,Tori,5
RI,F,1998,Emily,122
RI,F,1998,Samantha,104
RI,F,1998,Hannah,75
RI,F,1998,Victoria,71
RI,F,1998,Madison,68
RI,F,1998,Sarah,68
RI,F,1998,Alexis,63
RI,F,1998,Ashley,63
RI,F,1998,Elizabeth,60
RI,F,1998,Jessica,59
RI,F,1998,Amanda,56
RI,F,1998,Brianna,56
RI,F,1998,Emma,56
RI,F,1998,Olivia,55
RI,F,1998,Taylor,55
RI,F,1998,Nicole,52
RI,F,1998,Alexandra,51
RI,F,1998,Julia,51
RI,F,1998,Lauren,51
RI,F,1998,Alyssa,50
RI,F,1998,Abigail,46
RI,F,1998,Megan,45
RI,F,1998,Jennifer,42
RI,F,1998,Rachel,39
RI,F,1998,Haley,37
RI,F,1998,Katherine,37
RI,F,1998,Kayla,37
RI,F,1998,Jenna,36
RI,F,1998,Stephanie,34
RI,F,1998,Sophia,33
RI,F,1998,Amber,31
RI,F,1998,Morgan,31
RI,F,1998,Danielle,30
RI,F,1998,Paige,30
RI,F,1998,Grace,29
RI,F,1998,Madeline,29
RI,F,1998,Molly,29
RI,F,1998,Rebecca,27
RI,F,1998,Caroline,26
RI,F,1998,Gabrielle,26
RI,F,1998,Kelsey,26
RI,F,1998,Marissa,26
RI,F,1998,Sydney,26
RI,F,1998,Allison,25
RI,F,1998,Kaitlyn,25
RI,F,1998,Katelyn,25
RI,F,1998,Briana,24
RI,F,1998,Brittany,24
RI,F,1998,Destiny,24
RI,F,1998,Brooke,23
RI,F,1998,Erin,23
RI,F,1998,Jillian,23
RI,F,1998,Shannon,23
RI,F,1998,Courtney,22
RI,F,1998,Gianna,22
RI,F,1998,Isabella,22
RI,F,1998,Kimberly,22
RI,F,1998,Meghan,22
RI,F,1998,Michaela,22
RI,F,1998,Sara,22
RI,F,1998,Alexa,21
RI,F,1998,Kendra,21
RI,F,1998,Caitlin,20
RI,F,1998,Hailey,20
RI,F,1998,Jasmine,20
RI,F,1998,Mary,20
RI,F,1998,Christina,19
RI,F,1998,Jordan,19
RI,F,1998,Leah,19
RI,F,1998,Andrea,18
RI,F,1998,Faith,18
RI,F,1998,Sabrina,18
RI,F,1998,Amy,17
RI,F,1998,Angela,17
RI,F,1998,Ariana,17
RI,F,1998,Cassandra,17
RI,F,1998,Natasha,17
RI,F,1998,Tiffany,17
RI,F,1998,Vanessa,17
RI,F,1998,Alexandria,16
RI,F,1998,Caitlyn,16
RI,F,1998,Catherine,16
RI,F,1998,Isabelle,16
RI,F,1998,Kristen,16
RI,F,1998,Mackenzie,16
RI,F,1998,Kathryn,15
RI,F,1998,Kaylee,15
RI,F,1998,Melissa,15
RI,F,1998,Michelle,15
RI,F,1998,Anna,14
RI,F,1998,Chelsea,14
RI,F,1998,Genesis,14
RI,F,1998,Jacqueline,14
RI,F,1998,Jamie,14
RI,F,1998,Katie,14
RI,F,1998,Laura,14
RI,F,1998,Lindsay,14
RI,F,1998,Maria,14
RI,F,1998,Natalie,14
RI,F,1998,Adriana,13
RI,F,1998,Bethany,13
RI,F,1998,Cheyenne,13
RI,F,1998,Erica,13
RI,F,1998,Gabriella,13
RI,F,1998,Isabel,13
RI,F,1998,Jocelyn,13
RI,F,1998,Kaitlin,13
RI,F,1998,Sierra,13
RI,F,1998,Tayla,13
RI,F,1998,Zoe,13
RI,F,1998,Arianna,12
RI,F,1998,Heather,12
RI,F,1998,Kate,12
RI,F,1998,Makayla,12
RI,F,1998,Margaret,12
RI,F,1998,Miranda,12
RI,F,1998,Autumn,11
RI,F,1998,Bianca,11
RI,F,1998,Casey,11
RI,F,1998,Kelly,11
RI,F,1998,Kyra,11
RI,F,1998,Lily,11
RI,F,1998,Lindsey,11
RI,F,1998,Savannah,11
RI,F,1998,Tatiana,11
RI,F,1998,Alexia,10
RI,F,1998,Alison,10
RI,F,1998,Crystal,10
RI,F,1998,Holly,10
RI,F,1998,Juliana,10
RI,F,1998,Lydia,10
RI,F,1998,Meagan,10
RI,F,1998,Meaghan,10
RI,F,1998,Mia,10
RI,F,1998,Rachael,10
RI,F,1998,Alicia,9
RI,F,1998,Allyson,9
RI,F,1998,Cassidy,9
RI,F,1998,Diana,9
RI,F,1998,Erika,9
RI,F,1998,Hope,9
RI,F,1998,Jade,9
RI,F,1998,Karen,9
RI,F,1998,Kristina,9
RI,F,1998,Mariah,9
RI,F,1998,Mikayla,9
RI,F,1998,Monique,9
RI,F,1998,Rebekah,9
RI,F,1998,Tara,9
RI,F,1998,Ana,8
RI,F,1998,Bryanna,8
RI,F,1998,Katrina,8
RI,F,1998,Kayleigh,8
RI,F,1998,Kiara,8
RI,F,1998,Kylie,8
RI,F,1998,Lillian,8
RI,F,1998,Marina,8
RI,F,1998,Marisa,8
RI,F,1998,Nina,8
RI,F,1998,Renee,8
RI,F,1998,Veronica,8
RI,F,1998,Adrianna,7
RI,F,1998,Alana,7
RI,F,1998,Angel,7
RI,F,1998,Angelica,7
RI,F,1998,Bridget,7
RI,F,1998,Carmen,7
RI,F,1998,Colleen,7
RI,F,1998,Hayley,7
RI,F,1998,Janelle,7
RI,F,1998,Julie,7
RI,F,1998,Kendall,7
RI,F,1998,Leslie,7
RI,F,1998,Lisa,7
RI,F,1998,Madeleine,7
RI,F,1998,Selena,7
RI,F,1998,Sofia,7
RI,F,1998,Sophie,7
RI,F,1998,Talia,7
RI,F,1998,Tess,7
RI,F,1998,Tessa,7
RI,F,1998,Abby,6
RI,F,1998,Ariel,6
RI,F,1998,Bailey,6
RI,F,1998,Cameron,6
RI,F,1998,Chloe,6
RI,F,1998,Claire,6
RI,F,1998,Elena,6
RI,F,1998,Giana,6
RI,F,1998,Kassandra,6
RI,F,1998,Kathleen,6
RI,F,1998,Kiana,6
RI,F,1998,Krystal,6
RI,F,1998,Maya,6
RI,F,1998,Monica,6
RI,F,1998,Rose,6
RI,F,1998,Shelby,6
RI,F,1998,Valerie,6
RI,F,1998,Alejandra,5
RI,F,1998,Alexus,5
RI,F,1998,Amelia,5
RI,F,1998,Asia,5
RI,F,1998,Brittney,5
RI,F,1998,Carissa,5
RI,F,1998,Charlotte,5
RI,F,1998,Christine,5
RI,F,1998,Ciara,5
RI,F,1998,Dana,5
RI,F,1998,Deanna,5
RI,F,1998,Deja,5
RI,F,1998,Delaney,5
RI,F,1998,Emely,5
RI,F,1998,Gillian,5
RI,F,1998,Gina,5
RI,F,1998,Haleigh,5
RI,F,1998,Jasmin,5
RI,F,1998,Justine,5
RI,F,1998,Kailey,5
RI,F,1998,Kaleigh,5
RI,F,1998,Katelynn,5
RI,F,1998,Kelsie,5
RI,F,1998,Kyla,5
RI,F,1998,Lucy,5
RI,F,1998,Melanie,5
RI,F,1998,Mikaela,5
RI,F,1998,Natalia,5
RI,F,1998,Patricia,5
RI,F,1998,Riley,5
RI,F,1998,Ruth,5
RI,F,1998,Shawna,5
RI,F,1998,Shayna,5
RI,F,1998,Skyla,5
RI,F,1998,Summer,5
RI,F,1998,Teresa,5
RI,F,1998,Virginia,5
RI,F,1999,Emily,105
RI,F,1999,Samantha,92
RI,F,1999,Hannah,91
RI,F,1999,Sarah,91
RI,F,1999,Madison,81
RI,F,1999,Victoria,75
RI,F,1999,Ashley,70
RI,F,1999,Julia,70
RI,F,1999,Alexis,62
RI,F,1999,Elizabeth,62
RI,F,1999,Emma,59
RI,F,1999,Taylor,57
RI,F,1999,Amanda,56
RI,F,1999,Rachel,56
RI,F,1999,Abigail,53
RI,F,1999,Brianna,52
RI,F,1999,Lauren,52
RI,F,1999,Jessica,51
RI,F,1999,Alexandra,49
RI,F,1999,Olivia,48
RI,F,1999,Megan,47
RI,F,1999,Nicole,45
RI,F,1999,Alyssa,43
RI,F,1999,Isabella,43
RI,F,1999,Sydney,41
RI,F,1999,Katherine,40
RI,F,1999,Morgan,38
RI,F,1999,Haley,35
RI,F,1999,Grace,34
RI,F,1999,Sophia,34
RI,F,1999,Kaitlyn,31
RI,F,1999,Jennifer,30
RI,F,1999,Kayla,30
RI,F,1999,Mackenzie,30
RI,F,1999,Jenna,29
RI,F,1999,Jillian,29
RI,F,1999,Rebecca,29
RI,F,1999,Amber,28
RI,F,1999,Gabrielle,28
RI,F,1999,Courtney,26
RI,F,1999,Meghan,26
RI,F,1999,Ariana,25
RI,F,1999,Gianna,25
RI,F,1999,Jasmine,25
RI,F,1999,Kelsey,25
RI,F,1999,Molly,25
RI,F,1999,Allison,24
RI,F,1999,Katelyn,24
RI,F,1999,Mariah,24
RI,F,1999,Sabrina,24
RI,F,1999,Vanessa,24
RI,F,1999,Brooke,23
RI,F,1999,Michaela,23
RI,F,1999,Arianna,21
RI,F,1999,Caitlyn,21
RI,F,1999,Erin,21
RI,F,1999,Stephanie,21
RI,F,1999,Brittany,20
RI,F,1999,Gabriella,20
RI,F,1999,Hailey,20
RI,F,1999,Laura,20
RI,F,1999,Caitlin,19
RI,F,1999,Cassandra,19
RI,F,1999,Cassidy,19
RI,F,1999,Christina,19
RI,F,1999,Danielle,19
RI,F,1999,Kiara,19
RI,F,1999,Sara,18
RI,F,1999,Zoe,18
RI,F,1999,Alexa,17
RI,F,1999,Alexandria,17
RI,F,1999,Andrea,17
RI,F,1999,Caroline,17
RI,F,1999,Hope,17
RI,F,1999,Jacqueline,17
RI,F,1999,Kathryn,17
RI,F,1999,Alexia,16
RI,F,1999,Briana,16
RI,F,1999,Catherine,16
RI,F,1999,Destiny,16
RI,F,1999,Paige,16
RI,F,1999,Anna,15
RI,F,1999,Chelsea,15
RI,F,1999,Katie,15
RI,F,1999,Kelly,15
RI,F,1999,Natalie,15
RI,F,1999,Shannon,15
RI,F,1999,Brittney,14
RI,F,1999,Jordan,14
RI,F,1999,Kaylee,14
RI,F,1999,Kimberly,14
RI,F,1999,Lindsey,14
RI,F,1999,Maria,14
RI,F,1999,Melissa,14
RI,F,1999,Michelle,14
RI,F,1999,Talia,14
RI,F,1999,Angela,13
RI,F,1999,Bridget,13
RI,F,1999,Cheyenne,13
RI,F,1999,Kailey,13
RI,F,1999,Lily,13
RI,F,1999,Angelica,12
RI,F,1999,Crystal,12
RI,F,1999,Isabelle,12
RI,F,1999,Jocelyn,12
RI,F,1999,Kate,12
RI,F,1999,Kristen,12
RI,F,1999,Leah,12
RI,F,1999,Madeline,12
RI,F,1999,Marissa,12
RI,F,1999,Mary,12
RI,F,1999,Sofia,12
RI,F,1999,Autumn,11
RI,F,1999,Bethany,11
RI,F,1999,Jade,11
RI,F,1999,Julianna,11
RI,F,1999,Makayla,11
RI,F,1999,Margaret,11
RI,F,1999,Mia,11
RI,F,1999,Savannah,11
RI,F,1999,Allyson,10
RI,F,1999,Bianca,10
RI,F,1999,Breanna,10
RI,F,1999,Casey,10
RI,F,1999,Faith,10
RI,F,1999,Genesis,10
RI,F,1999,Isabel,10
RI,F,1999,Juliana,10
RI,F,1999,Kylie,10
RI,F,1999,Riley,10
RI,F,1999,Sophie,10
RI,F,1999,Tatiana,10
RI,F,1999,Alicia,9
RI,F,1999,Camryn,9
RI,F,1999,Carly,9
RI,F,1999,Diana,9
RI,F,1999,Erika,9
RI,F,1999,Kathleen,9
RI,F,1999,Natasha,9
RI,F,1999,Tatyana,9
RI,F,1999,Alisha,8
RI,F,1999,Amelia,8
RI,F,1999,Ava,8
RI,F,1999,Charlotte,8
RI,F,1999,Chloe,8
RI,F,1999,Giana,8
RI,F,1999,Heather,8
RI,F,1999,Jada,8
RI,F,1999,Kaitlin,8
RI,F,1999,Kiana,8
RI,F,1999,Mikayla,8
RI,F,1999,Miranda,8
RI,F,1999,Sierra,8
RI,F,1999,Tayla,8
RI,F,1999,Veronica,8
RI,F,1999,Amy,7
RI,F,1999,Angelina,7
RI,F,1999,Audrey,7
RI,F,1999,Dominique,7
RI,F,1999,Elena,7
RI,F,1999,Eliza,7
RI,F,1999,Gina,7
RI,F,1999,Holly,7
RI,F,1999,Jamie,7
RI,F,1999,Joanna,7
RI,F,1999,Julie,7
RI,F,1999,Kayleigh,7
RI,F,1999,Kendra,7
RI,F,1999,Lindsay,7
RI,F,1999,Marina,7
RI,F,1999,Maya,7
RI,F,1999,Melanie,7
RI,F,1999,Raquel,7
RI,F,1999,Tiana,7
RI,F,1999,Tori,7
RI,F,1999,Alice,6
RI,F,1999,Brenna,6
RI,F,1999,Britney,6
RI,F,1999,Cecilia,6
RI,F,1999,Erica,6
RI,F,1999,Gillian,6
RI,F,1999,Hayley,6
RI,F,1999,Jane,6
RI,F,1999,Kaleigh,6
RI,F,1999,Katrina,6
RI,F,1999,Kiley,6
RI,F,1999,Kyra,6
RI,F,1999,Lexi,6
RI,F,1999,Lillian,6
RI,F,1999,Madeleine,6
RI,F,1999,Marisa,6
RI,F,1999,Mckenzie,6
RI,F,1999,Meredith,6
RI,F,1999,Monique,6
RI,F,1999,Mya,6
RI,F,1999,Pamela,6
RI,F,1999,Patricia,6
RI,F,1999,Phoebe,6
RI,F,1999,Rachael,6
RI,F,1999,Renee,6
RI,F,1999,Ruby,6
RI,F,1999,Sadie,6
RI,F,1999,Shania,6
RI,F,1999,Tara,6
RI,F,1999,Adriana,5
RI,F,1999,Alana,5
RI,F,1999,Alexus,5
RI,F,1999,Alison,5
RI,F,1999,Ana,5
RI,F,1999,Angel,5
RI,F,1999,Ashlee,5
RI,F,1999,Athena,5
RI,F,1999,Avery,5
RI,F,1999,Bailey,5
RI,F,1999,Carolyn,5
RI,F,1999,Christine,5
RI,F,1999,Colleen,5
RI,F,1999,Cynthia,5
RI,F,1999,Elise,5
RI,F,1999,Evelyn,5
RI,F,1999,Janessa,5
RI,F,1999,Jayda,5
RI,F,1999,Justice,5
RI,F,1999,Karina,5
RI,F,1999,Karissa,5
RI,F,1999,Kasey,5
RI,F,1999,Liliana,5
RI,F,1999,Linda,5
RI,F,1999,Maddison,5
RI,F,1999,Maggie,5
RI,F,1999,Maia,5
RI,F,1999,Monica,5
RI,F,1999,Nadia,5
RI,F,1999,Nina,5
RI,F,1999,Sandra,5
RI,F,1999,Shelby,5
RI,F,1999,Tabitha,5
RI,F,1999,Valerie,5
RI,F,2000,Emily,122
RI,F,2000,Hannah,84
RI,F,2000,Sarah,80
RI,F,2000,Madison,75
RI,F,2000,Victoria,70
RI,F,2000,Ashley,67
RI,F,2000,Olivia,64
RI,F,2000,Elizabeth,61
RI,F,2000,Samantha,60
RI,F,2000,Emma,58
RI,F,2000,Julia,58
RI,F,2000,Abigail,56
RI,F,2000,Grace,56
RI,F,2000,Brianna,55
RI,F,2000,Alexis,52
RI,F,2000,Alyssa,51
RI,F,2000,Lauren,51
RI,F,2000,Katherine,45
RI,F,2000,Kayla,43
RI,F,2000,Hailey,38
RI,F,2000,Rachel,38
RI,F,2000,Jessica,37
RI,F,2000,Mackenzie,37
RI,F,2000,Sophia,37
RI,F,2000,Taylor,37
RI,F,2000,Sydney,36
RI,F,2000,Isabella,34
RI,F,2000,Jenna,32
RI,F,2000,Nicole,32
RI,F,2000,Alexandra,31
RI,F,2000,Caroline,31
RI,F,2000,Megan,30
RI,F,2000,Gianna,26
RI,F,2000,Jasmine,25
RI,F,2000,Jillian,25
RI,F,2000,Meghan,25
RI,F,2000,Anna,24
RI,F,2000,Gabriella,24
RI,F,2000,Rebecca,24
RI,F,2000,Sabrina,24
RI,F,2000,Alexia,23
RI,F,2000,Brooke,23
RI,F,2000,Erin,23
RI,F,2000,Marissa,23
RI,F,2000,Stephanie,23
RI,F,2000,Amanda,22
RI,F,2000,Destiny,22
RI,F,2000,Jennifer,22
RI,F,2000,Kimberly,22
RI,F,2000,Morgan,22
RI,F,2000,Allison,21
RI,F,2000,Danielle,21
RI,F,2000,Gabrielle,21
RI,F,2000,Kaylee,21
RI,F,2000,Melissa,21
RI,F,2000,Natalie,21
RI,F,2000,Sara,21
RI,F,2000,Haley,20
RI,F,2000,Arianna,19
RI,F,2000,Cassidy,19
RI,F,2000,Ariana,18
RI,F,2000,Chloe,18
RI,F,2000,Jordan,18
RI,F,2000,Kaitlyn,18
RI,F,2000,Kelsey,18
RI,F,2000,Amber,17
RI,F,2000,Kathryn,17
RI,F,2000,Mia,17
RI,F,2000,Vanessa,17
RI,F,2000,Courtney,16
RI,F,2000,Jacqueline,16
RI,F,2000,Katelyn,16
RI,F,2000,Lily,16
RI,F,2000,Madeline,16
RI,F,2000,Maria,16
RI,F,2000,Mary,16
RI,F,2000,Michaela,16
RI,F,2000,Sophie,16
RI,F,2000,Christina,15
RI,F,2000,Faith,15
RI,F,2000,Jamie,15
RI,F,2000,Leah,15
RI,F,2000,Molly,15
RI,F,2000,Paige,15
RI,F,2000,Briana,14
RI,F,2000,Crystal,14
RI,F,2000,Jada,14
RI,F,2000,Margaret,14
RI,F,2000,Sierra,14
RI,F,2000,Alexandria,13
RI,F,2000,Ava,13
RI,F,2000,Catherine,13
RI,F,2000,Savannah,13
RI,F,2000,Shannon,13
RI,F,2000,Talia,13
RI,F,2000,Zoe,13
RI,F,2000,Angelina,12
RI,F,2000,Chelsea,12
RI,F,2000,Katie,12
RI,F,2000,Lillian,12
RI,F,2000,Michelle,12
RI,F,2000,Trinity,12
RI,F,2000,Hayley,11
RI,F,2000,Isabelle,11
RI,F,2000,Jocelyn,11
RI,F,2000,Kendra,11
RI,F,2000,Makayla,11
RI,F,2000,Melanie,11
RI,F,2000,Autumn,10
RI,F,2000,Britney,10
RI,F,2000,Brittany,10
RI,F,2000,Caitlin,10
RI,F,2000,Hope,10
RI,F,2000,Isabel,10
RI,F,2000,Lindsey,10
RI,F,2000,Riley,10
RI,F,2000,Rose,10
RI,F,2000,Adriana,9
RI,F,2000,Alexa,9
RI,F,2000,Audrey,9
RI,F,2000,Caitlyn,9
RI,F,2000,Charlotte,9
RI,F,2000,Erica,9
RI,F,2000,Genesis,9
RI,F,2000,Heather,9
RI,F,2000,Jordyn,9
RI,F,2000,Kelly,9
RI,F,2000,Laura,9
RI,F,2000,Maya,9
RI,F,2000,Mikayla,9
RI,F,2000,Tiffany,9
RI,F,2000,Andrea,8
RI,F,2000,Angela,8
RI,F,2000,Bethany,8
RI,F,2000,Casey,8
RI,F,2000,Daniela,8
RI,F,2000,Kathleen,8
RI,F,2000,Kristina,8
RI,F,2000,Natalia,8
RI,F,2000,Natasha,8
RI,F,2000,Sadie,8
RI,F,2000,Selena,8
RI,F,2000,Shania,8
RI,F,2000,Sofia,8
RI,F,2000,Tatiana,8
RI,F,2000,Adrianna,7
RI,F,2000,Anastasia,7
RI,F,2000,Angel,7
RI,F,2000,Angelica,7
RI,F,2000,Ariel,7
RI,F,2000,Avery,7
RI,F,2000,Bryanna,7
RI,F,2000,Cassandra,7
RI,F,2000,Cheyenne,7
