StateCode,Sex,YearOfBirth,Name,Number
HI,M,1918,Kazumi,6
HI,M,1918,Makoto,6
HI,M,1918,Ray,6
HI,M,1918,Roy,6
HI,M,1918,Sam,6
HI,M,1918,Shigeo,6
HI,M,1918,Shiro,6
HI,M,1918,Tamotsu,6
HI,M,1918,Theodore,6
HI,M,1918,Tokio,6
HI,M,1918,Yasuo,6
HI,M,1918,Yukio,6
HI,M,1918,Bernard,5
HI,M,1918,Eddie,5
HI,M,1918,Edwin,5
HI,M,1918,Hitoshi,5
HI,M,1918,Jacob,5
HI,M,1918,Jerry,5
HI,M,1918,Kaoru,5
HI,M,1918,Kunio,5
HI,M,1918,Martin,5
HI,M,1918,Matsuo,5
HI,M,1918,Melvin,5
HI,M,1918,Mitsugi,5
HI,M,1918,Satoshi,5
HI,M,1918,Seikichi,5
HI,M,1918,Sueo,5
HI,M,1918,Tom,5
HI,M,1918,Wah,5
HI,M,1918,Wallace,5
HI,M,1918,Yoshiaki,5
HI,M,1918,Yoshikatsu,5
HI,M,1918,Yoshimi,5
HI,M,1919,John,87
HI,M,1919,George,81
HI,M,1919,William,77
HI,M,1919,Joseph,74
HI,M,1919,Robert,65
HI,M,1919,Henry,63
HI,M,1919,James,57
HI,M,1919,Richard,53
HI,M,1919,Edward,45
HI,M,1919,Albert,42
HI,M,1919,Masao,39
HI,M,1919,David,37
HI,M,1919,Frank,37
HI,M,1919,Walter,37
HI,M,1919,Alfred,36
HI,M,1919,Charles,35
HI,M,1919,Thomas,33
HI,M,1919,Manuel,30
HI,M,1919,Raymond,28
HI,M,1919,Yoshio,27
HI,M,1919,Harry,25
HI,M,1919,Herbert,24
HI,M,1919,Paul,24
HI,M,1919,Kiyoshi,23
HI,M,1919,Clarence,22
HI,M,1919,Daniel,22
HI,M,1919,Harold,22
HI,M,1919,Lawrence,21
HI,M,1919,Edwin,20
HI,M,1919,Kazuo,20
HI,M,1919,Takeo,20
HI,M,1919,Arthur,19
HI,M,1919,Fred,18
HI,M,1919,Hiroshi,18
HI,M,1919,Mitsuo,18
HI,M,1919,Francis,17
HI,M,1919,Samuel,17
HI,M,1919,Takeshi,17
HI,M,1919,Ernest,16
HI,M,1919,Hideo,16
HI,M,1919,Louis,16
HI,M,1919,Peter,16
HI,M,1919,Toshio,16
HI,M,1919,Kenneth,15
HI,M,1919,Stanley,15
HI,M,1919,Haruo,14
HI,M,1919,Jack,14
HI,M,1919,Noboru,14
HI,M,1919,Susumu,14
HI,M,1919,Akira,13
HI,M,1919,Joe,13
HI,M,1919,Masato,13
HI,M,1919,Shigeru,13
HI,M,1919,Tadashi,13
HI,M,1919,Yasuo,13
HI,M,1919,Isamu,12
HI,M,1919,Masaichi,12
HI,M,1919,Shigeo,12
HI,M,1919,Masayuki,11
HI,M,1919,Minoru,11
HI,M,1919,Shoichi,11
HI,M,1919,Yoshito,11
HI,M,1919,Antone,10
HI,M,1919,Masaru,10
HI,M,1919,Seichi,10
HI,M,1919,Solomon,10
HI,M,1919,Theodore,10
HI,M,1919,Wataru,10
HI,M,1919,Yukio,10
HI,M,1919,Anthony,9
HI,M,1919,Isami,9
HI,M,1919,Katsumi,9
HI,M,1919,Ralph,9
HI,M,1919,Ah,8
HI,M,1919,Andrew,8
HI,M,1919,Benjamin,8
HI,M,1919,Earl,8
HI,M,1919,Isao,8
HI,M,1919,Katsuji,8
HI,M,1919,Kenji,8
HI,M,1919,Moses,8
HI,M,1919,Roy,8
HI,M,1919,Sadao,8
HI,M,1919,Takao,8
HI,M,1919,Bernard,7
HI,M,1919,Hiromu,7
HI,M,1919,Jiro,7
HI,M,1919,Kiichi,7
HI,M,1919,Koichi,7
HI,M,1919,Michael,7
HI,M,1919,Nobuo,7
HI,M,1919,Philip,7
HI,M,1919,Shiro,7
HI,M,1919,Tadao,7
HI,M,1919,Yutaka,7
HI,M,1919,Alexander,6
HI,M,1919,Alvin,6
HI,M,1919,Donald,6
HI,M,1919,Eddie,6
HI,M,1919,Ichiro,6
HI,M,1919,Jitsuo,6
HI,M,1919,Johnny,6
HI,M,1919,Kenichi,6
HI,M,1919,Leo,6
HI,M,1919,Masami,6
HI,M,1919,Masayoshi,6
HI,M,1919,Satoshi,6
HI,M,1919,Sunao,6
HI,M,1919,Takashi,6
HI,M,1919,Tokuo,6
HI,M,1919,Tsutomu,6
HI,M,1919,Chester,5
HI,M,1919,Christopher,5
HI,M,1919,Clement,5
HI,M,1919,Domingo,5
HI,M,1919,Fumio,5
HI,M,1919,Gilbert,5
HI,M,1919,Hisao,5
HI,M,1919,Howard,5
HI,M,1919,Kaoru,5
HI,M,1919,Kotaro,5
HI,M,1919,Masatoshi,5
HI,M,1919,Matsuichi,5
HI,M,1919,Mitsugi,5
HI,M,1919,Norman,5
HI,M,1919,Patrick,5
HI,M,1919,Pedro,5
HI,M,1919,Saburo,5
HI,M,1919,Shinichi,5
HI,M,1919,Stephen,5
HI,M,1919,Taro,5
HI,M,1919,Tokio,5
HI,M,1919,Tom,5
HI,M,1919,Toshiyuki,5
HI,M,1920,John,88
HI,M,1920,Robert,74
HI,M,1920,William,74
HI,M,1920,George,71
HI,M,1920,Joseph,69
HI,M,1920,James,63
HI,M,1920,Richard,59
HI,M,1920,David,46
HI,M,1920,Edward,46
HI,M,1920,Albert,45
HI,M,1920,Henry,43
HI,M,1920,Charles,42
HI,M,1920,Frank,41
HI,M,1920,Harry,40
HI,M,1920,Hiroshi,31
HI,M,1920,Alfred,29
HI,M,1920,Harold,28
HI,M,1920,Herbert,28
HI,M,1920,Manuel,27
HI,M,1920,Walter,27
HI,M,1920,Lawrence,25
HI,M,1920,Shigeru,25
HI,M,1920,Thomas,25
HI,M,1920,Yoshio,25
HI,M,1920,Daniel,23
HI,M,1920,Masao,23
HI,M,1920,Paul,23
HI,M,1920,Raymond,22
HI,M,1920,Francis,21
HI,M,1920,Kiyoshi,21
HI,M,1920,Mitsuo,21
HI,M,1920,Hideo,20
HI,M,1920,Clarence,19
HI,M,1920,Noboru,19
HI,M,1920,Toshio,19
HI,M,1920,Ernest,18
HI,M,1920,Haruo,18
HI,M,1920,Stanley,18
HI,M,1920,Isamu,17
HI,M,1920,Jack,17
HI,M,1920,Kazuo,17
HI,M,1920,Kenneth,17
HI,M,1920,Peter,17
HI,M,1920,Tadashi,17
HI,M,1920,Gilbert,16
HI,M,1920,Minoru,16
HI,M,1920,Tadao,16
HI,M,1920,Takeo,16
HI,M,1920,Antone,14
HI,M,1920,Tsutomu,14
HI,M,1920,Fred,13
HI,M,1920,Ichiro,13
HI,M,1920,Saburo,13
HI,M,1920,Shigeo,13
HI,M,1920,Takeshi,13
HI,M,1920,Benjamin,12
HI,M,1920,Masaru,12
HI,M,1920,Masayuki,11
HI,M,1920,Samuel,11
HI,M,1920,Seichi,11
HI,M,1920,Yasuo,11
HI,M,1920,Yutaka,11
HI,M,1920,Arthur,10
HI,M,1920,Fumio,10
HI,M,1920,Hitoshi,10
HI,M,1920,Joe,10
HI,M,1920,Katsumi,10
HI,M,1920,Louis,10
HI,M,1920,Masato,10
HI,M,1920,Shinichi,10
HI,M,1920,Tamotsu,10
HI,M,1920,Teruo,10
HI,M,1920,Akira,9
HI,M,1920,Clement,9
HI,M,1920,Howard,9
HI,M,1920,Kaoru,9
HI,M,1920,Kenichi,9
HI,M,1920,Mitsugi,9
HI,M,1920,Nobuo,9
HI,M,1920,Ralph,9
HI,M,1920,Roy,9
HI,M,1920,Satoru,9
HI,M,1920,Takashi,9
HI,M,1920,Wallace,9
HI,M,1920,Johnny,8
HI,M,1920,Masami,8
HI,M,1920,Moses,8
HI,M,1920,Solomon,8
HI,M,1920,Susumu,8
HI,M,1920,Donald,7
HI,M,1920,Frederick,7
HI,M,1920,Goro,7
HI,M,1920,Herman,7
HI,M,1920,Hiromu,7
HI,M,1920,Hisashi,7
HI,M,1920,Isami,7
HI,M,1920,Jiro,7
HI,M,1920,Mamoru,7
HI,M,1920,Masaichi,7
HI,M,1920,Masuo,7
HI,M,1920,Nobuichi,7
HI,M,1920,Philip,7
HI,M,1920,Shizuo,7
HI,M,1920,Yoshito,7
HI,M,1920,Young,7
HI,M,1920,Yukio,7
HI,M,1920,Abraham,6
HI,M,1920,Anthony,6
HI,M,1920,Clifford,6
HI,M,1920,Douglas,6
HI,M,1920,Edwin,6
HI,M,1920,Eichi,6
HI,M,1920,Iwao,6
HI,M,1920,Kenji,6
HI,M,1920,Kunio,6
HI,M,1920,Larry,6
HI,M,1920,Manabu,6
HI,M,1920,Masanori,6
HI,M,1920,Masashi,6
HI,M,1920,Mitsuru,6
HI,M,1920,Tsugio,6
HI,M,1920,Wilfred,6
HI,M,1920,Yoshiyuki,6
HI,M,1920,Adam,5
HI,M,1920,Andrew,5
HI,M,1920,Hisao,5
HI,M,1920,Kazumi,5
HI,M,1920,Kazuto,5
HI,M,1920,Masakatsu,5
HI,M,1920,Masayoshi,5
HI,M,1920,Sam,5
HI,M,1920,Shiro,5
HI,M,1920,Shoichi,5
HI,M,1920,Tadayoshi,5
HI,M,1920,Tetsuo,5
HI,M,1920,Tokuichi,5
HI,M,1920,Wah,5
HI,M,1921,George,99
HI,M,1921,John,99
HI,M,1921,William,86
HI,M,1921,James,73
HI,M,1921,Henry,67
HI,M,1921,Robert,67
HI,M,1921,Joseph,66
HI,M,1921,Richard,59
HI,M,1921,Harry,52
HI,M,1921,Edward,48
HI,M,1921,Charles,46
HI,M,1921,Albert,45
HI,M,1921,Frank,45
HI,M,1921,Yoshio,44
HI,M,1921,David,38
HI,M,1921,Thomas,36
HI,M,1921,Raymond,35
HI,M,1921,Alfred,32
HI,M,1921,Ernest,32
HI,M,1921,Hiroshi,30
HI,M,1921,Haruo,26
HI,M,1921,Kiyoshi,26
HI,M,1921,Lawrence,26
HI,M,1921,Toshio,26
HI,M,1921,Daniel,25
HI,M,1921,Herbert,25
HI,M,1921,Masao,25
HI,M,1921,Francis,24
HI,M,1921,Kazuo,23
HI,M,1921,Walter,23
HI,M,1921,Hideo,22
HI,M,1921,Manuel,22
HI,M,1921,Clarence,21
HI,M,1921,Kenneth,21
HI,M,1921,Harold,20
HI,M,1921,Isamu,20
HI,M,1921,Gilbert,19
HI,M,1921,Mitsuo,19
HI,M,1921,Noboru,19
HI,M,1921,Samuel,19
HI,M,1921,Takeshi,19
HI,M,1921,Minoru,18
HI,M,1921,Shigeo,18
HI,M,1921,Arthur,17
HI,M,1921,Fred,17
HI,M,1921,Peter,16
HI,M,1921,Shigeru,16
HI,M,1921,Takeo,16
HI,M,1921,Benjamin,15
HI,M,1921,Louis,15
HI,M,1921,Stanley,15
HI,M,1921,Takashi,15
HI,M,1921,Masaru,14
HI,M,1921,Ralph,14
HI,M,1921,Seichi,14
HI,M,1921,Tadashi,14
HI,M,1921,Antone,13
HI,M,1921,Joe,13
HI,M,1921,Paul,13
HI,M,1921,Sadao,13
HI,M,1921,Tamotsu,13
HI,M,1921,Wallace,13
HI,M,1921,Yoshito,13
HI,M,1921,Alexander,12
HI,M,1921,Anthony,12
HI,M,1921,Edwin,12
HI,M,1921,Eugene,12
HI,M,1921,Ichiro,12
HI,M,1921,Kaoru,12
HI,M,1921,Abraham,11
HI,M,1921,Akira,11
HI,M,1921,Frederick,11
HI,M,1921,Larry,11
HI,M,1921,Saburo,11
HI,M,1921,Teruo,11
HI,M,1921,Tsutomu,11
HI,M,1921,Jack,10
HI,M,1921,Masato,10
HI,M,1921,Nobuo,10
HI,M,1921,Susumu,10
HI,M,1921,Abel,9
HI,M,1921,Donald,9
HI,M,1921,Howard,9
HI,M,1921,Iwao,9
HI,M,1921,Jiro,9
HI,M,1921,Masami,9
HI,M,1921,Roy,9
HI,M,1921,Torao,9
HI,M,1921,Yukio,9
HI,M,1921,Yutaka,9
HI,M,1921,Hajime,8
HI,M,1921,Herman,8
HI,M,1921,Michael,8
HI,M,1921,Philip,8
HI,M,1921,Sadamu,8
HI,M,1921,Solomon,8
HI,M,1921,Tadao,8
HI,M,1921,Tony,8
HI,M,1921,Tsugio,8
HI,M,1921,Tsuneo,8
HI,M,1921,Wilfred,8
HI,M,1921,Bernard,7
HI,M,1921,Isami,7
HI,M,1921,Kenichi,7
HI,M,1921,Koichi,7
HI,M,1921,Masayoshi,7
HI,M,1921,Sam,7
HI,M,1921,Tetsuo,7
HI,M,1921,Tom,7
HI,M,1921,Clifford,6
HI,M,1921,Hisashi,6
HI,M,1921,Jose,6
HI,M,1921,Kenji,6
HI,M,1921,Makoto,6
HI,M,1921,Masaichi,6
HI,M,1921,Melvin,6
HI,M,1921,Norman,6
HI,M,1921,Satoru,6
HI,M,1921,Shiro,6
HI,M,1921,Shizuo,6
HI,M,1921,Theodore,6
HI,M,1921,Yasuo,6
HI,M,1921,Allen,5
HI,M,1921,Alvin,5
HI,M,1921,Antonio,5
HI,M,1921,Edmund,5
HI,M,1921,Elmer,5
HI,M,1921,Hisao,5
HI,M,1921,Isao,5
HI,M,1921,Kazuto,5
HI,M,1921,Kiyomi,5
HI,M,1921,Lester,5
HI,M,1921,Mamoru,5
HI,M,1921,Masanobu,5
HI,M,1921,Masashi,5
HI,M,1921,Mitsugi,5
HI,M,1921,Moses,5
HI,M,1921,Nobuyuki,5
HI,M,1921,Norio,5
HI,M,1921,Oliver,5
HI,M,1921,Roland,5
HI,M,1921,Ronald,5
HI,M,1921,Satoshi,5
HI,M,1921,Seikichi,5
HI,M,1921,Seiko,5
HI,M,1921,Shigeki,5
HI,M,1921,Shinichi,5
HI,M,1921,Shoichi,5
HI,M,1921,Shuichi,5
HI,M,1921,Sueo,5
HI,M,1921,Takao,5
HI,M,1921,Tatsuo,5
HI,M,1921,Yoshiharu,5
HI,M,1922,John,89
HI,M,1922,William,88
HI,M,1922,George,85
HI,M,1922,Robert,83
HI,M,1922,Joseph,78
HI,M,1922,James,76
HI,M,1922,Richard,71
HI,M,1922,Edward,69
HI,M,1922,Charles,61
HI,M,1922,Albert,49
HI,M,1922,Henry,48
HI,M,1922,Harry,39
HI,M,1922,Raymond,39
HI,M,1922,Masao,38
HI,M,1922,David,37
HI,M,1922,Harold,37
HI,M,1922,Frank,34
HI,M,1922,Thomas,34
HI,M,1922,Walter,33
HI,M,1922,Alfred,32
HI,M,1922,Herbert,30
HI,M,1922,Manuel,27
HI,M,1922,Ernest,26
HI,M,1922,Daniel,25
HI,M,1922,Hiroshi,25
HI,M,1922,Hideo,24
HI,M,1922,Kiyoshi,24
HI,M,1922,Stanley,24
HI,M,1922,Toshio,24
HI,M,1922,Yoshio,24
HI,M,1922,Benjamin,23
HI,M,1922,Clarence,23
HI,M,1922,Isamu,23
HI,M,1922,Francis,22
HI,M,1922,Takeo,22
HI,M,1922,Mitsuo,21
HI,M,1922,Paul,21
HI,M,1922,Tadashi,21
HI,M,1922,Takeshi,21
HI,M,1922,Arthur,20
HI,M,1922,Kazuo,20
HI,M,1922,Louis,20
HI,M,1922,Shigeru,20
HI,M,1922,Wallace,20
HI,M,1922,Lawrence,19
HI,M,1922,Yukio,19
HI,M,1922,Seichi,18
HI,M,1922,Edwin,17
HI,M,1922,Gilbert,17
HI,M,1922,Herman,17
HI,M,1922,Samuel,17
HI,M,1922,Fred,16
HI,M,1922,Noboru,16
HI,M,1922,Donald,15
HI,M,1922,Kenneth,15
HI,M,1922,Peter,15
HI,M,1922,Haruo,14
HI,M,1922,Joe,14
HI,M,1922,Ralph,14
HI,M,1922,Takashi,14
HI,M,1922,Akira,13
HI,M,1922,Jack,13
HI,M,1922,Kenji,13
HI,M,1922,Larry,13
HI,M,1922,Masami,13
HI,M,1922,Minoru,13
HI,M,1922,Philip,13
HI,M,1922,Sadao,13
HI,M,1922,Tamotsu,13
HI,M,1922,Tetsuo,13
HI,M,1922,Hisao,12
HI,M,1922,Masayoshi,12
HI,M,1922,Norman,12
HI,M,1922,Roy,12
HI,M,1922,Satoru,12
HI,M,1922,Shigeo,12
HI,M,1922,Tadao,12
HI,M,1922,Alexander,11
HI,M,1922,Katsumi,11
HI,M,1922,Kenichi,11
HI,M,1922,Masaru,11
HI,M,1922,Teruo,11
HI,M,1922,Theodore,11
HI,M,1922,Andrew,10
HI,M,1922,Frederick,10
HI,M,1922,Masayuki,10
HI,M,1922,Patrick,10
HI,M,1922,Tsutomu,10
HI,M,1922,Anthony,9
HI,M,1922,Fumio,9
HI,M,1922,Hajime,9
HI,M,1922,Ichiro,9
HI,M,1922,Nobuo,9
HI,M,1922,Victor,9
HI,M,1922,Warren,9
HI,M,1922,Yoshito,9
HI,M,1922,Antone,8
HI,M,1922,Howard,8
HI,M,1922,Jerry,8
HI,M,1922,Kaoru,8
HI,M,1922,Makoto,8
HI,M,1922,Masato,8
HI,M,1922,Shinichi,8
HI,M,1922,Wilfred,8
HI,M,1922,Adam,7
HI,M,1922,Clifford,7
HI,M,1922,Isao,7
HI,M,1922,Itsuo,7
HI,M,1922,Iwao,7
HI,M,1922,Jiro,7
HI,M,1922,Leonard,7
HI,M,1922,Mamoru,7
HI,M,1922,Masaichi,7
HI,M,1922,Michael,7
HI,M,1922,Moses,7
HI,M,1922,Ronald,7
HI,M,1922,Sakae,7
HI,M,1922,Shiro,7
HI,M,1922,Tsugio,7
HI,M,1922,Yasuo,7
HI,M,1922,Clement,6
HI,M,1922,Eugene,6
HI,M,1922,Fukuichi,6
HI,M,1922,Goro,6
HI,M,1922,Haruyoshi,6
HI,M,1922,Hisashi,6
HI,M,1922,Isami,6
HI,M,1922,Kazumi,6
HI,M,1922,Masuo,6
HI,M,1922,Mitsuru,6
HI,M,1922,Saburo,6
HI,M,1922,Satoshi,6
HI,M,1922,Solomon,6
HI,M,1922,Sueo,6
HI,M,1922,Takao,6
HI,M,1922,Tatsumi,6
HI,M,1922,Yoshiharu,6
HI,M,1922,Abraham,5
HI,M,1922,Ah,5
HI,M,1922,Allen,5
HI,M,1922,Alvin,5
HI,M,1922,Edmund,5
HI,M,1922,Felix,5
HI,M,1922,Francisco,5
HI,M,1922,Hidemi,5
HI,M,1922,Jacob,5
HI,M,1922,Jose,5
HI,M,1922,Kam,5
HI,M,1922,Katsuji,5
HI,M,1922,Koichi,5
HI,M,1922,Leslie,5
HI,M,1922,Lloyd,5
HI,M,1922,Norio,5
HI,M,1922,Pedro,5
HI,M,1922,Reginald,5
HI,M,1922,Sadamu,5
HI,M,1922,Sam,5
HI,M,1922,Seiji,5
HI,M,1922,Shigeto,5
HI,M,1922,Susumu,5
HI,M,1922,Tokuo,5
HI,M,1922,Tony,5
HI,M,1922,Toru,5
HI,M,1922,Tsuneo,5
HI,M,1922,Yoshitaka,5
HI,M,1922,Young,5
HI,M,1923,George,110
HI,M,1923,John,109
HI,M,1923,William,91
HI,M,1923,Robert,88
HI,M,1923,Joseph,81
HI,M,1923,James,80
HI,M,1923,Richard,68
HI,M,1923,Edward,65
HI,M,1923,Henry,52
HI,M,1923,Charles,48
HI,M,1923,Thomas,48
HI,M,1923,Harry,47
HI,M,1923,David,46
HI,M,1923,Alfred,43
HI,M,1923,Walter,41
HI,M,1923,Albert,39
HI,M,1923,Raymond,39
HI,M,1923,Frank,36
HI,M,1923,Kiyoshi,35
HI,M,1923,Yoshio,35
HI,M,1923,Herbert,34
HI,M,1923,Ernest,33
HI,M,1923,Masao,33
HI,M,1923,Hiroshi,32
HI,M,1923,Samuel,31
HI,M,1923,Daniel,30
HI,M,1923,Kenneth,29
HI,M,1923,Harold,27
HI,M,1923,Clarence,25
HI,M,1923,Paul,25
HI,M,1923,Hideo,24
HI,M,1923,Manuel,23
HI,M,1923,Takashi,23
HI,M,1923,Kazuo,22
HI,M,1923,Toshio,22
HI,M,1923,Francis,20
HI,M,1923,Lawrence,20
HI,M,1923,Alexander,19
HI,M,1923,Benjamin,19
HI,M,1923,Jack,19
HI,M,1923,Mitsuo,19
HI,M,1923,Susumu,19
HI,M,1923,Tamotsu,19
HI,M,1923,Haruo,18
HI,M,1923,Shigeo,18
HI,M,1923,Shigeru,18
HI,M,1923,Isamu,17
HI,M,1923,Arthur,16
HI,M,1923,Donald,16
HI,M,1923,Katsumi,16
HI,M,1923,Louis,16
HI,M,1923,Noboru,16
HI,M,1923,Peter,16
HI,M,1923,Ralph,16
HI,M,1923,Stanley,15
HI,M,1923,Tadashi,15
HI,M,1923,Takeo,15
HI,M,1923,Yukio,15
HI,M,1923,Abraham,14
HI,M,1923,Masaru,14
HI,M,1923,Tsutomu,14
HI,M,1923,Wallace,14
HI,M,1923,Antone,13
HI,M,1923,Gilbert,13
HI,M,1923,Yoshito,13
HI,M,1923,Fred,12
HI,M,1923,Kenji,12
HI,M,1923,Masayoshi,12
HI,M,1923,Minoru,12
HI,M,1923,Satoshi,12
HI,M,1923,Takeshi,12
HI,M,1923,Teruo,12
HI,M,1923,Andrew,11
HI,M,1923,Herman,11
HI,M,1923,Masayuki,11
HI,M,1923,Moses,11
HI,M,1923,Solomon,11
HI,M,1923,Theodore,11
HI,M,1923,Akira,10
HI,M,1923,Clifford,10
HI,M,1923,Edwin,10
HI,M,1923,Frederick,10
HI,M,1923,Kenichi,10
HI,M,1923,Masaichi,10
HI,M,1923,Masato,10
HI,M,1923,Norman,10
HI,M,1923,Pedro,10
HI,M,1923,Sadao,10
HI,M,1923,Tetsuo,10
HI,M,1923,Hitoshi,9
HI,M,1923,Masami,9
HI,M,1923,Nobuo,9
HI,M,1923,Philip,9
HI,M,1923,Seichi,9
HI,M,1923,Tadao,9
HI,M,1923,Yasuo,9
HI,M,1923,Alvin,8
HI,M,1923,Earl,8
HI,M,1923,Eugene,8
HI,M,1923,Hiromu,8
HI,M,1923,Isao,8
HI,M,1923,Iwao,8
HI,M,1923,Kaoru,8
HI,M,1923,Larry,8
HI,M,1923,Roy,8
HI,M,1923,Saburo,8
HI,M,1923,Satoru,8
HI,M,1923,Shinichi,8
HI,M,1923,Shoichi,8
HI,M,1923,Sueo,8
HI,M,1923,Sunao,8
HI,M,1923,Tatsuo,8
HI,M,1923,Wilfred,8
HI,M,1923,Antonio,7
HI,M,1923,Elmer,7
HI,M,1923,Goro,7
HI,M,1923,Hisao,7
HI,M,1923,Ichiro,7
HI,M,1923,Isami,7
HI,M,1923,Mamoru,7
HI,M,1923,Michael,7
HI,M,1923,Seiji,7
HI,M,1923,Stephen,7
HI,M,1923,Allen,6
HI,M,1923,Carl,6
HI,M,1923,Francisco,6
HI,M,1923,Fumio,6
HI,M,1923,Howard,6
HI,M,1923,Kazumi,6
HI,M,1923,Koichi,6
HI,M,1923,Makoto,6
HI,M,1923,Mitsuru,6
HI,M,1923,Ronald,6
HI,M,1923,Sakae,6
HI,M,1923,Seiko,6
HI,M,1923,Shizuo,6
HI,M,1923,Toshiaki,6
HI,M,1923,Tsugio,6
HI,M,1923,Tsuneo,6
HI,M,1923,Yoshiaki,6
HI,M,1923,Anthony,5
HI,M,1923,Christopher,5
HI,M,1923,Edmund,5
HI,M,1923,Hajime,5
HI,M,1923,Harris,5
HI,M,1923,Itsuo,5
HI,M,1923,Jacob,5
HI,M,1923,Keiji,5
HI,M,1923,Koon,5
HI,M,1923,Leonard,5
HI,M,1923,Masanori,5
HI,M,1923,Melvin,5
HI,M,1923,Sam,5
HI,M,1923,Tokio,5
HI,M,1923,Victor,5
HI,M,1923,Warren,5
HI,M,1923,Wataru,5
HI,M,1923,Yoshinobu,5
HI,M,1923,Yutaka,5
HI,M,1924,John,116
HI,M,1924,William,114
HI,M,1924,George,110
HI,M,1924,Joseph,104
HI,M,1924,Robert,104
HI,M,1924,James,95
HI,M,1924,Richard,87
HI,M,1924,Henry,66
HI,M,1924,Edward,61
HI,M,1924,Charles,58
HI,M,1924,Harry,53
HI,M,1924,Raymond,53
HI,M,1924,Thomas,53
HI,M,1924,Albert,49
HI,M,1924,David,44
HI,M,1924,Herbert,42
HI,M,1924,Hiroshi,42
HI,M,1924,Kiyoshi,36
HI,M,1924,Masao,36
HI,M,1924,Alfred,35
HI,M,1924,Ernest,35
HI,M,1924,Walter,34
HI,M,1924,Kenneth,33
HI,M,1924,Yoshio,33
HI,M,1924,Benjamin,31
HI,M,1924,Frank,31
HI,M,1924,Mitsuo,30
HI,M,1924,Stanley,30
HI,M,1924,Francis,29
HI,M,1924,Harold,28
HI,M,1924,Manuel,28
HI,M,1924,Paul,27
HI,M,1924,Hideo,26
HI,M,1924,Toshio,26
HI,M,1924,Arthur,25
HI,M,1924,Takeshi,25
HI,M,1924,Clarence,24
HI,M,1924,Lawrence,23
HI,M,1924,Samuel,23
HI,M,1924,Takeo,23
HI,M,1924,Isamu,22
HI,M,1924,Shigeo,22
HI,M,1924,Shigeru,22
HI,M,1924,Takashi,22
HI,M,1924,Daniel,21
HI,M,1924,Gilbert,20
HI,M,1924,Kazuo,20
HI,M,1924,Akira,19
HI,M,1924,Haruo,19
HI,M,1924,Noboru,19
HI,M,1924,Theodore,19
HI,M,1924,Wallace,19
HI,M,1924,Masaru,18
HI,M,1924,Tadashi,18
HI,M,1924,Alfredo,16
HI,M,1924,Edwin,16
HI,M,1924,Frederick,16
HI,M,1924,Jack,16
HI,M,1924,Jose,16
HI,M,1924,Minoru,16
HI,M,1924,Peter,16
HI,M,1924,Philip,16
HI,M,1924,Susumu,16
HI,M,1924,Tsutomu,16
HI,M,1924,Donald,15
HI,M,1924,Louis,15
HI,M,1924,Masato,15
HI,M,1924,Alexander,14
HI,M,1924,Mamoru,14
HI,M,1924,Herman,13
HI,M,1924,Masaichi,13
HI,M,1924,Norman,13
HI,M,1924,Roy,13
HI,M,1924,Ralph,12
HI,M,1924,Tetsuo,12
HI,M,1924,Abraham,11
HI,M,1924,Calvin,11
HI,M,1924,Howard,11
HI,M,1924,Pedro,11
HI,M,1924,Saburo,11
HI,M,1924,Yukio,11
HI,M,1924,Alvin,10
HI,M,1924,Isaac,10
HI,M,1924,Kaoru,10
HI,M,1924,Kenji,10
HI,M,1924,Masami,10
HI,M,1924,Sadao,10
HI,M,1924,Satoru,10
HI,M,1924,Tadao,10
HI,M,1924,Teruo,10
HI,M,1924,Wilfred,10
HI,M,1924,Yutaka,10
HI,M,1924,Antone,9
HI,M,1924,Clifford,9
HI,M,1924,Fred,9
HI,M,1924,Katsumi,9
HI,M,1924,Kenichi,9
HI,M,1924,Moses,9
HI,M,1924,Tamotsu,9
HI,M,1924,Antonio,8
HI,M,1924,Atsushi,8
HI,M,1924,Earl,8
HI,M,1924,Ichiro,8
HI,M,1924,Isao,8
HI,M,1924,Itsuo,8
HI,M,1924,Jitsuo,8
HI,M,1924,Koichi,8
HI,M,1924,Leonard,8
HI,M,1924,Mitsuru,8
HI,M,1924,Seichi,8
HI,M,1924,Yasuo,8
HI,M,1924,Yoshito,8
HI,M,1924,Bernard,7
HI,M,1924,Emilio,7
HI,M,1924,Eugene,7
HI,M,1924,Francisco,7
HI,M,1924,Fumio,7
HI,M,1924,Hajime,7
HI,M,1924,Hisao,7
HI,M,1924,Hitoshi,7
HI,M,1924,Iwao,7
HI,M,1924,Julio,7
HI,M,1924,Makoto,7
HI,M,1924,Masashi,7
HI,M,1924,Masayoshi,7
HI,M,1924,Michael,7
HI,M,1924,Miguel,7
HI,M,1924,Satoshi,7
HI,M,1924,Seiko,7
HI,M,1924,Shizuo,7
HI,M,1924,Shoji,7
HI,M,1924,Stephen,7
HI,M,1924,Takao,7
HI,M,1924,Tom,7
HI,M,1924,Tsugio,7
HI,M,1924,Abel,6
HI,M,1924,Adam,6
HI,M,1924,Goro,6
HI,M,1924,Isami,6
HI,M,1924,Kunio,6
HI,M,1924,Larry,6
HI,M,1924,Lloyd,6
HI,M,1924,Mikio,6
HI,M,1924,Nobuyuki,6
HI,M,1924,Ricardo,6
HI,M,1924,Ronald,6
HI,M,1924,Shiro,6
