StateCode,Sex,YearOfBirth,Name,Number
MT,M,1942,Philip,14
MT,M,1942,Theodore,14
MT,M,1942,Alfred,13
MT,M,1942,Clarence,13
MT,M,1942,Ernest,13
MT,M,1942,Jerome,13
MT,M,1942,Lee,13
MT,M,1942,Leslie,13
MT,M,1942,Mark,13
MT,M,1942,Ted,13
MT,M,1942,Albert,12
MT,M,1942,Andrew,12
MT,M,1942,Curtis,12
MT,M,1942,Darrell,12
MT,M,1942,Dean,12
MT,M,1942,Edwin,12
MT,M,1942,Glen,11
MT,M,1942,Rodney,11
MT,M,1942,Dave,10
MT,M,1942,Steve,10
MT,M,1942,Victor,10
MT,M,1942,Warren,10
MT,M,1942,Danny,9
MT,M,1942,Elmer,9
MT,M,1942,Jon,9
MT,M,1942,Lester,9
MT,M,1942,Benjamin,8
MT,M,1942,Bernard,8
MT,M,1942,Calvin,8
MT,M,1942,Craig,8
MT,M,1942,Delbert,8
MT,M,1942,Floyd,8
MT,M,1942,Garry,8
MT,M,1942,Gregory,8
MT,M,1942,Herman,8
MT,M,1942,Jay,8
MT,M,1942,Keith,8
MT,M,1942,Phillip,8
MT,M,1942,Sam,8
MT,M,1942,Steven,8
MT,M,1942,Barry,7
MT,M,1942,Clyde,7
MT,M,1942,Frederick,7
MT,M,1942,Johnny,7
MT,M,1942,Leon,7
MT,M,1942,Lewis,7
MT,M,1942,Arnold,6
MT,M,1942,Clayton,6
MT,M,1942,Darrel,6
MT,M,1942,Errol,6
MT,M,1942,Everett,6
MT,M,1942,Fredrick,6
MT,M,1942,Harley,6
MT,M,1942,Harvey,6
MT,M,1942,Jimmy,6
MT,M,1942,Maurice,6
MT,M,1942,Neil,6
MT,M,1942,Benny,5
MT,M,1942,Bobby,5
MT,M,1942,Bradley,5
MT,M,1942,Brian,5
MT,M,1942,Cecil,5
MT,M,1942,Clinton,5
MT,M,1942,Eddie,5
MT,M,1942,Hugh,5
MT,M,1942,Kent,5
MT,M,1942,Lance,5
MT,M,1942,Loren,5
MT,M,1942,Lynn,5
MT,M,1942,Max,5
MT,M,1942,Merle,5
MT,M,1942,Milton,5
MT,M,1942,Monte,5
MT,M,1942,Neal,5
MT,M,1942,Pat,5
MT,M,1942,Samuel,5
MT,M,1942,Teddy,5
MT,M,1942,Terrance,5
MT,M,1942,Tim,5
MT,M,1942,Timothy,5
MT,M,1942,Virgil,5
MT,M,1942,Wallace,5
MT,M,1942,Wilbur,5
MT,M,1942,Willard,5
MT,M,1943,Robert,260
MT,M,1943,John,235
MT,M,1943,James,221
MT,M,1943,William,203
MT,M,1943,Richard,163
MT,M,1943,Gary,130
MT,M,1943,David,129
MT,M,1943,Donald,125
MT,M,1943,Larry,112
MT,M,1943,Ronald,111
MT,M,1943,Charles,108
MT,M,1943,Thomas,103
MT,M,1943,Kenneth,94
MT,M,1943,Jerry,81
MT,M,1943,Dennis,70
MT,M,1943,Michael,70
MT,M,1943,Raymond,62
MT,M,1943,George,61
MT,M,1943,Douglas,52
MT,M,1943,Edward,49
MT,M,1943,Gerald,47
MT,M,1943,Frank,45
MT,M,1943,Jack,45
MT,M,1943,Daniel,44
MT,M,1943,Joseph,43
MT,M,1943,Paul,43
MT,M,1943,Bill,40
MT,M,1943,Roger,39
MT,M,1943,Terry,39
MT,M,1943,Dale,35
MT,M,1943,Jim,34
MT,M,1943,Arthur,33
MT,M,1943,Bruce,32
MT,M,1943,Harold,32
MT,M,1943,Walter,32
MT,M,1943,Fred,29
MT,M,1943,Don,28
MT,M,1943,Melvin,28
MT,M,1943,Ralph,27
MT,M,1943,Dick,26
MT,M,1943,Marvin,26
MT,M,1943,Ronnie,26
MT,M,1943,Tom,26
MT,M,1943,Norman,25
MT,M,1943,Patrick,24
MT,M,1943,Henry,23
MT,M,1943,Joe,23
MT,M,1943,Leroy,23
MT,M,1943,Wayne,23
MT,M,1943,Howard,22
MT,M,1943,Leonard,22
MT,M,1943,Stephen,22
MT,M,1943,Clifford,21
MT,M,1943,Duane,21
MT,M,1943,Gene,21
MT,M,1943,Gordon,21
MT,M,1943,Harry,21
MT,M,1943,Bob,20
MT,M,1943,Keith,20
MT,M,1943,Lawrence,20
MT,M,1943,Mike,20
MT,M,1943,Carl,19
MT,M,1943,Dan,18
MT,M,1943,Ernest,18
MT,M,1943,Russell,17
MT,M,1943,Stanley,17
MT,M,1943,Albert,16
MT,M,1943,Danny,16
MT,M,1943,Dean,16
MT,M,1943,Eugene,16
MT,M,1943,Philip,16
MT,M,1943,Theodore,16
MT,M,1943,Allen,15
MT,M,1943,Curtis,15
MT,M,1943,Earl,15
MT,M,1943,Harvey,15
MT,M,1943,Lloyd,15
MT,M,1943,Lyle,15
MT,M,1943,Mark,15
MT,M,1943,Frederick,14
MT,M,1943,Martin,14
MT,M,1943,Steve,14
MT,M,1943,Alan,13
MT,M,1943,Alvin,13
MT,M,1943,Anthony,13
MT,M,1943,Clarence,13
MT,M,1943,Jon,13
MT,M,1943,Lee,13
MT,M,1943,Leslie,13
MT,M,1943,Ray,13
MT,M,1943,Francis,12
MT,M,1943,Jerome,12
MT,M,1943,Louis,12
MT,M,1943,Roy,12
MT,M,1943,Steven,12
MT,M,1943,Vernon,12
MT,M,1943,Victor,12
MT,M,1943,Darrell,11
MT,M,1943,Rodney,11
MT,M,1943,Billy,10
MT,M,1943,Edwin,10
MT,M,1943,Floyd,10
MT,M,1943,Lester,10
MT,M,1943,Warren,10
MT,M,1943,Barry,9
MT,M,1943,Calvin,9
MT,M,1943,Glenn,9
MT,M,1943,Jay,9
MT,M,1943,Loren,9
MT,M,1943,Timothy,9
MT,M,1943,Wesley,9
MT,M,1943,Ben,8
MT,M,1943,Dave,8
MT,M,1943,Garry,8
MT,M,1943,Leo,8
MT,M,1943,Neil,8
MT,M,1943,Peter,8
MT,M,1943,Phillip,8
MT,M,1943,Alfred,7
MT,M,1943,Clyde,7
MT,M,1943,Darrel,7
MT,M,1943,Eddie,7
MT,M,1943,Franklin,7
MT,M,1943,Jesse,7
MT,M,1943,Jimmy,7
MT,M,1943,Leon,7
MT,M,1943,Pat,7
MT,M,1943,Samuel,7
MT,M,1943,Ted,7
MT,M,1943,Bobby,6
MT,M,1943,Brian,6
MT,M,1943,Clark,6
MT,M,1943,Colin,6
MT,M,1943,Glen,6
MT,M,1943,Kenny,6
MT,M,1943,Lewis,6
MT,M,1943,Lynn,6
MT,M,1943,Randall,6
MT,M,1943,Ron,6
MT,M,1943,Tommy,6
MT,M,1943,Allan,5
MT,M,1943,Bernard,5
MT,M,1943,Chris,5
MT,M,1943,Clayton,5
MT,M,1943,Dwight,5
MT,M,1943,Emil,5
MT,M,1943,Fredrick,5
MT,M,1943,Gregory,5
MT,M,1943,Herbert,5
MT,M,1943,Hugh,5
MT,M,1943,Jerrold,5
MT,M,1943,Johnny,5
MT,M,1943,Lowell,5
MT,M,1943,Maurice,5
MT,M,1943,Merlin,5
MT,M,1943,Mickey,5
MT,M,1943,Monte,5
MT,M,1943,Owen,5
MT,M,1943,Scott,5
MT,M,1943,Sidney,5
MT,M,1943,Terrance,5
MT,M,1943,Vern,5
MT,M,1943,Willard,5
MT,M,1944,Robert,275
MT,M,1944,James,245
MT,M,1944,John,244
MT,M,1944,Richard,201
MT,M,1944,William,173
MT,M,1944,Gary,152
MT,M,1944,David,135
MT,M,1944,Ronald,113
MT,M,1944,Donald,108
MT,M,1944,Larry,107
MT,M,1944,Charles,103
MT,M,1944,Thomas,92
MT,M,1944,Michael,78
MT,M,1944,Kenneth,77
MT,M,1944,Dennis,71
MT,M,1944,Jerry,71
MT,M,1944,George,69
MT,M,1944,Jack,54
MT,M,1944,Edward,52
MT,M,1944,Douglas,48
MT,M,1944,Daniel,46
MT,M,1944,Gerald,46
MT,M,1944,Terry,45
MT,M,1944,Raymond,44
MT,M,1944,Roger,39
MT,M,1944,Joseph,38
MT,M,1944,Jim,37
MT,M,1944,Roy,35
MT,M,1944,Wayne,35
MT,M,1944,Patrick,34
MT,M,1944,Bill,33
MT,M,1944,Eugene,30
MT,M,1944,Paul,30
MT,M,1944,Frank,29
MT,M,1944,Bruce,28
MT,M,1944,Harold,28
MT,M,1944,Tom,28
MT,M,1944,Mike,26
MT,M,1944,Albert,24
MT,M,1944,Dale,24
MT,M,1944,Clifford,23
MT,M,1944,Fred,23
MT,M,1944,Bob,22
MT,M,1944,Don,22
MT,M,1944,Melvin,22
MT,M,1944,Walter,22
MT,M,1944,Arthur,21
MT,M,1944,Carl,20
MT,M,1944,Dan,20
MT,M,1944,Joe,20
MT,M,1944,Marvin,20
MT,M,1944,Danny,19
MT,M,1944,Lawrence,19
MT,M,1944,Russell,18
MT,M,1944,Stanley,18
MT,M,1944,Steven,18
MT,M,1944,Warren,18
MT,M,1944,Alvin,17
MT,M,1944,Leonard,17
MT,M,1944,Ronnie,17
MT,M,1944,Dean,16
MT,M,1944,Glenn,16
MT,M,1944,Gordon,16
MT,M,1944,Leo,16
MT,M,1944,Ralph,16
MT,M,1944,Vernon,16
MT,M,1944,Alan,15
MT,M,1944,Earl,15
MT,M,1944,Jay,15
MT,M,1944,Leroy,15
MT,M,1944,Peter,15
MT,M,1944,Rodney,15
MT,M,1944,Allen,14
MT,M,1944,Lee,14
MT,M,1944,Lloyd,14
MT,M,1944,Mark,14
MT,M,1944,Ray,14
MT,M,1944,Stephen,14
MT,M,1944,Theodore,14
MT,M,1944,Duane,13
MT,M,1944,Gene,13
MT,M,1944,Anthony,12
MT,M,1944,Clarence,12
MT,M,1944,Harry,12
MT,M,1944,Jon,12
MT,M,1944,Leslie,12
MT,M,1944,Timothy,12
MT,M,1944,Wesley,12
MT,M,1944,Darrell,11
MT,M,1944,Jimmy,11
MT,M,1944,Neil,11
MT,M,1944,Philip,11
MT,M,1944,Steve,11
MT,M,1944,Billy,10
MT,M,1944,Clyde,10
MT,M,1944,Dave,10
MT,M,1944,Ernest,10
MT,M,1944,Henry,10
MT,M,1944,Howard,10
MT,M,1944,Lynn,10
MT,M,1944,Martin,10
MT,M,1944,Victor,10
MT,M,1944,Calvin,9
MT,M,1944,Curtis,9
MT,M,1944,Dick,9
MT,M,1944,Francis,9
MT,M,1944,Harvey,9
MT,M,1944,Keith,9
MT,M,1944,Ron,9
MT,M,1944,Samuel,9
MT,M,1944,Ted,9
MT,M,1944,Arnold,8
MT,M,1944,Bernard,8
MT,M,1944,Byron,8
MT,M,1944,Delbert,8
MT,M,1944,Dwight,8
MT,M,1944,Edwin,8
MT,M,1944,Jerome,8
MT,M,1944,Loren,8
MT,M,1944,Lyle,8
MT,M,1944,Phillip,8
MT,M,1944,Ricky,8
MT,M,1944,Alfred,7
MT,M,1944,Brian,7
MT,M,1944,Claude,7
MT,M,1944,Clinton,7
MT,M,1944,Everett,7
MT,M,1944,Frederick,7
MT,M,1944,Glen,7
MT,M,1944,Jeffrey,7
MT,M,1944,Johnny,7
MT,M,1944,Kent,7
MT,M,1944,Louis,7
MT,M,1944,Norman,7
MT,M,1944,Sam,7
MT,M,1944,Allan,6
MT,M,1944,Andrew,6
MT,M,1944,Benjamin,6
MT,M,1944,Clayton,6
MT,M,1944,Garry,6
MT,M,1944,Milton,6
MT,M,1944,Myron,6
MT,M,1944,Stuart,6
MT,M,1944,Tommy,6
MT,M,1944,Darrel,5
MT,M,1944,Doug,5
MT,M,1944,Eddie,5
MT,M,1944,Floyd,5
MT,M,1944,Fredrick,5
MT,M,1944,Harlan,5
MT,M,1944,Jerald,5
MT,M,1944,Ken,5
MT,M,1944,Lester,5
MT,M,1944,Lonnie,5
MT,M,1944,Micheal,5
MT,M,1944,Monty,5
MT,M,1944,Noel,5
MT,M,1944,Orville,5
MT,M,1944,Randall,5
MT,M,1944,Sidney,5
MT,M,1944,Tony,5
MT,M,1944,Willard,5
MT,M,1944,Willis,5
MT,M,1945,James,271
MT,M,1945,Robert,265
MT,M,1945,John,234
MT,M,1945,Richard,184
MT,M,1945,William,160
MT,M,1945,Gary,151
MT,M,1945,David,141
MT,M,1945,Larry,122
MT,M,1945,Ronald,122
MT,M,1945,Michael,121
MT,M,1945,Donald,99
MT,M,1945,Thomas,99
MT,M,1945,Charles,90
MT,M,1945,Kenneth,88
MT,M,1945,Dennis,77
MT,M,1945,Jerry,72
MT,M,1945,Joseph,49
MT,M,1945,Douglas,47
MT,M,1945,Roger,46
MT,M,1945,Daniel,44
MT,M,1945,Edward,44
MT,M,1945,Gerald,43
MT,M,1945,Terry,41
MT,M,1945,Jim,40
MT,M,1945,Raymond,37
MT,M,1945,Paul,36
MT,M,1945,George,34
MT,M,1945,Bill,32
MT,M,1945,Bruce,31
MT,M,1945,Jack,31
MT,M,1945,Roy,30
MT,M,1945,Wayne,30
MT,M,1945,Arthur,29
MT,M,1945,Lawrence,29
MT,M,1945,Alan,28
MT,M,1945,Harold,28
MT,M,1945,Leonard,26
MT,M,1945,Dale,24
MT,M,1945,Gordon,24
MT,M,1945,Walter,24
MT,M,1945,Don,23
MT,M,1945,Duane,23
MT,M,1945,Marvin,23
MT,M,1945,Patrick,23
MT,M,1945,Fred,22
MT,M,1945,Frank,21
MT,M,1945,Tom,21
MT,M,1945,Eugene,20
MT,M,1945,Steven,20
MT,M,1945,Bob,19
MT,M,1945,Mike,19
MT,M,1945,Stephen,19
MT,M,1945,Philip,18
MT,M,1945,Danny,17
MT,M,1945,Peter,17
MT,M,1945,Ralph,17
MT,M,1945,Dean,16
MT,M,1945,Gene,16
MT,M,1945,Melvin,16
MT,M,1945,Timothy,16
MT,M,1945,Albert,15
MT,M,1945,Carl,15
MT,M,1945,Clifford,15
MT,M,1945,Leslie,15
MT,M,1945,Ted,15
MT,M,1945,Victor,15
MT,M,1945,Glenn,14
MT,M,1945,Harry,14
MT,M,1945,Henry,14
MT,M,1945,Joe,14
MT,M,1945,Keith,14
MT,M,1945,Russell,14
MT,M,1945,Allen,13
MT,M,1945,Alvin,13
MT,M,1945,Floyd,13
MT,M,1945,Leroy,13
MT,M,1945,Stanley,13
MT,M,1945,Theodore,13
MT,M,1945,Vernon,13
MT,M,1945,Barry,12
MT,M,1945,Edwin,12
MT,M,1945,Lee,12
MT,M,1945,Loren,12
MT,M,1945,Warren,12
MT,M,1945,Allan,11
MT,M,1945,Brian,11
MT,M,1945,Clarence,11
MT,M,1945,Darrell,11
MT,M,1945,Dave,11
MT,M,1945,Earl,11
MT,M,1945,Howard,11
MT,M,1945,Leo,11
MT,M,1945,Lloyd,11
MT,M,1945,Lyle,11
MT,M,1945,Norman,11
MT,M,1945,Steve,11
MT,M,1945,Bernard,10
MT,M,1945,Billy,10
MT,M,1945,Dan,10
MT,M,1945,Dwight,10
MT,M,1945,Jimmy,10
MT,M,1945,Mark,10
MT,M,1945,Ray,10
MT,M,1945,Rodney,10
MT,M,1945,Tim,10
MT,M,1945,Craig,9
MT,M,1945,Curtis,9
MT,M,1945,Herbert,9
MT,M,1945,Max,9
MT,M,1945,Micheal,9
MT,M,1945,Rick,9
MT,M,1945,Ronnie,9
MT,M,1945,Wesley,9
MT,M,1945,Benjamin,8
MT,M,1945,Clyde,8
MT,M,1945,Francis,8
MT,M,1945,Glen,8
MT,M,1945,Harvey,8
MT,M,1945,Louis,8
MT,M,1945,Phillip,8
MT,M,1945,Randy,8
MT,M,1945,Tommy,8
MT,M,1945,Calvin,7
MT,M,1945,Darrel,7
MT,M,1945,Dick,7
MT,M,1945,Eddie,7
MT,M,1945,Gregory,7
MT,M,1945,Guy,7
MT,M,1945,Jonathan,7
MT,M,1945,Lynn,7
MT,M,1945,Martin,7
MT,M,1945,Randolph,7
MT,M,1945,Ron,7
MT,M,1945,Samuel,7
MT,M,1945,Scott,7
MT,M,1945,Delbert,6
MT,M,1945,Ed,6
MT,M,1945,Eldon,6
MT,M,1945,Ernest,6
MT,M,1945,Garry,6
MT,M,1945,Gilbert,6
MT,M,1945,Jimmie,6
MT,M,1945,Leland,6
MT,M,1945,Lonnie,6
MT,M,1945,Sidney,6
MT,M,1945,Alfred,5
MT,M,1945,Chester,5
MT,M,1945,Edgar,5
MT,M,1945,Greg,5
MT,M,1945,Jay,5
MT,M,1945,Johnny,5
MT,M,1945,Jon,5
MT,M,1945,Ken,5
MT,M,1945,Kenny,5
MT,M,1945,Leon,5
MT,M,1945,Myron,5
MT,M,1945,Neal,5
MT,M,1945,Neil,5
MT,M,1945,Nick,5
MT,M,1945,Randall,5
MT,M,1945,Ricky,5
MT,M,1945,Roland,5
MT,M,1945,Wallace,5
MT,M,1946,James,319
MT,M,1946,Robert,319
MT,M,1946,John,291
MT,M,1946,William,229
MT,M,1946,Gary,220
MT,M,1946,Richard,219
MT,M,1946,David,198
MT,M,1946,Michael,147
MT,M,1946,Dennis,143
MT,M,1946,Ronald,136
MT,M,1946,Donald,135
MT,M,1946,Larry,133
MT,M,1946,Thomas,123
MT,M,1946,Kenneth,108
MT,M,1946,Jerry,83
MT,M,1946,Charles,82
MT,M,1946,Terry,73
MT,M,1946,Jack,57
MT,M,1946,George,56
MT,M,1946,Gerald,54
MT,M,1946,Daniel,53
MT,M,1946,Bruce,51
MT,M,1946,Douglas,50
MT,M,1946,Roger,50
MT,M,1946,Edward,48
MT,M,1946,Joseph,48
MT,M,1946,Paul,46
MT,M,1946,Wayne,45
MT,M,1946,Jim,43
MT,M,1946,Frank,40
MT,M,1946,Raymond,39
MT,M,1946,Dale,37
MT,M,1946,Bill,34
MT,M,1946,Lawrence,34
MT,M,1946,Patrick,33
MT,M,1946,Mike,32
MT,M,1946,Russell,31
MT,M,1946,Alan,30
MT,M,1946,Don,30
MT,M,1946,Walter,29
MT,M,1946,Tom,28
MT,M,1946,Leonard,27
MT,M,1946,Harold,26
MT,M,1946,Mark,25
MT,M,1946,Ralph,25
MT,M,1946,Rodney,25
MT,M,1946,Roy,25
MT,M,1946,Allen,24
MT,M,1946,Dave,24
MT,M,1946,Eugene,24
MT,M,1946,Arthur,22
MT,M,1946,Stephen,22
MT,M,1946,Steve,22
MT,M,1946,Steven,22
MT,M,1946,Carl,21
MT,M,1946,Clifford,21
MT,M,1946,Gordon,21
MT,M,1946,Joe,21
MT,M,1946,Ray,20
MT,M,1946,Melvin,19
MT,M,1946,Philip,19
MT,M,1946,Clarence,18
MT,M,1946,Dean,18
MT,M,1946,Jay,18
MT,M,1946,Jon,18
MT,M,1946,Lee,18
MT,M,1946,Lloyd,18
MT,M,1946,Norman,18
MT,M,1946,Ronnie,18
MT,M,1946,Timothy,18
MT,M,1946,Duane,17
MT,M,1946,Fred,17
MT,M,1946,Gregory,17
MT,M,1946,Darrell,16
MT,M,1946,Gene,16
MT,M,1946,Keith,16
MT,M,1946,Marvin,16
MT,M,1946,Albert,15
MT,M,1946,Danny,15
MT,M,1946,Howard,15
MT,M,1946,Anthony,14
MT,M,1946,Bernard,14
MT,M,1946,Bob,14
MT,M,1946,Glenn,14
MT,M,1946,Harvey,14
MT,M,1946,Randy,14
MT,M,1946,Wesley,14
MT,M,1946,Herbert,13
MT,M,1946,Leslie,13
MT,M,1946,Lynn,13
MT,M,1946,Pat,13
MT,M,1946,Peter,13
MT,M,1946,Stanley,13
MT,M,1946,Vernon,13
MT,M,1946,Brian,12
MT,M,1946,Dan,12
MT,M,1946,Floyd,12
MT,M,1946,Harry,12
MT,M,1946,Barry,11
MT,M,1946,Calvin,11
MT,M,1946,Earl,11
MT,M,1946,Francis,11
MT,M,1946,Warren,11
MT,M,1946,Arnold,10
MT,M,1946,Daryl,10
MT,M,1946,Ernest,10
MT,M,1946,Frederick,10
MT,M,1946,Glen,10
MT,M,1946,Henry,10
MT,M,1946,Leroy,10
MT,M,1946,Loren,10
MT,M,1946,Phillip,10
MT,M,1946,Randall,10
MT,M,1946,Rick,10
MT,M,1946,Allan,9
MT,M,1946,Clayton,9
MT,M,1946,Clinton,9
MT,M,1946,Dick,9
MT,M,1946,Garry,9
MT,M,1946,Grant,9
MT,M,1946,Jerome,9
MT,M,1946,Johnny,9
MT,M,1946,Louis,9
MT,M,1946,Ron,9
MT,M,1946,Ted,9
MT,M,1946,Curtis,8
MT,M,1946,Edwin,8
MT,M,1946,Hugh,8
MT,M,1946,Leo,8
MT,M,1946,Lyle,8
MT,M,1946,Marshall,8
MT,M,1946,Scott,8
MT,M,1946,Tim,8
MT,M,1946,Claude,7
MT,M,1946,Eddie,7
MT,M,1946,Gerry,7
MT,M,1946,Jesse,7
MT,M,1946,Jimmy,7
MT,M,1946,Ricky,7
MT,M,1946,Tommy,7
MT,M,1946,Tony,7
MT,M,1946,Victor,7
MT,M,1946,Alfred,6
MT,M,1946,Benjamin,6
MT,M,1946,Byron,6
MT,M,1946,Clyde,6
MT,M,1946,Dwayne,6
MT,M,1946,Elmer,6
MT,M,1946,Gilbert,6
MT,M,1946,Ken,6
MT,M,1946,Kent,6
MT,M,1946,Laurence,6
MT,M,1946,Lester,6
MT,M,1946,Milton,6
MT,M,1946,Nicholas,6
MT,M,1946,Sam,6
MT,M,1946,Samuel,6
MT,M,1946,Terrance,6
MT,M,1946,Terrence,6
MT,M,1946,Alvin,5
MT,M,1946,Andrew,5
MT,M,1946,Chester,5
MT,M,1946,Craig,5
MT,M,1946,Darrel,5
MT,M,1946,Doug,5
MT,M,1946,Ervin,5
MT,M,1946,Franklin,5
MT,M,1946,Fredrick,5
MT,M,1946,Greg,5
MT,M,1946,Jeffrey,5
MT,M,1946,Jerald,5
MT,M,1946,Karl,5
MT,M,1946,Leon,5
MT,M,1946,Lonnie,5
MT,M,1946,Myron,5
MT,M,1946,Neal,5
MT,M,1946,Ned,5
MT,M,1946,Neil,5
MT,M,1946,Nick,5
MT,M,1946,Perry,5
MT,M,1946,Pete,5
MT,M,1946,Theodore,5
MT,M,1946,Wallace,5
MT,M,1947,John,403
MT,M,1947,Robert,366
MT,M,1947,James,315
MT,M,1947,Richard,274
MT,M,1947,William,226
MT,M,1947,David,210
MT,M,1947,Gary,209
MT,M,1947,Michael,188
MT,M,1947,Ronald,158
MT,M,1947,Thomas,154
MT,M,1947,Larry,148
MT,M,1947,Donald,144
MT,M,1947,Dennis,142
MT,M,1947,Charles,122
MT,M,1947,Kenneth,118
MT,M,1947,Jerry,78
MT,M,1947,George,77
MT,M,1947,Edward,75
MT,M,1947,Daniel,74
MT,M,1947,Terry,72
MT,M,1947,Douglas,67
MT,M,1947,Paul,66
MT,M,1947,Gerald,61
MT,M,1947,Patrick,57
MT,M,1947,Steven,57
MT,M,1947,Joseph,51
MT,M,1947,Bruce,49
MT,M,1947,Stephen,48
MT,M,1947,Wayne,46
MT,M,1947,Dale,44
MT,M,1947,Roger,44
MT,M,1947,Jim,43
MT,M,1947,Frank,41
MT,M,1947,Harold,38
MT,M,1947,Jack,36
MT,M,1947,Timothy,36
MT,M,1947,Mark,35
MT,M,1947,Lawrence,34
MT,M,1947,Raymond,34
MT,M,1947,Steve,33
MT,M,1947,Arthur,32
MT,M,1947,Bill,32
MT,M,1947,Leonard,32
MT,M,1947,Allen,31
MT,M,1947,Danny,31
MT,M,1947,Roy,31
MT,M,1947,Bob,30
MT,M,1947,Gregory,30
MT,M,1947,Mike,29
MT,M,1947,Joe,28
MT,M,1947,Russell,28
MT,M,1947,Don,27
MT,M,1947,Melvin,26
MT,M,1947,Ralph,26
MT,M,1947,Duane,25
MT,M,1947,Alan,24
MT,M,1947,Dan,24
MT,M,1947,Fred,23
MT,M,1947,Rodney,23
MT,M,1947,Howard,22
MT,M,1947,Keith,22
MT,M,1947,Leslie,22
MT,M,1947,Walter,22
MT,M,1947,Brian,21
MT,M,1947,Stanley,21
MT,M,1947,Clifford,20
MT,M,1947,Martin,20
MT,M,1947,Marvin,20
MT,M,1947,Ernest,19
MT,M,1947,Glenn,19
MT,M,1947,Randy,19
MT,M,1947,Tom,19
MT,M,1947,Carl,18
MT,M,1947,Clarence,18
MT,M,1947,Gordon,18
MT,M,1947,Jay,18
MT,M,1947,Norman,18
MT,M,1947,Ray,18
MT,M,1947,Darrell,17
MT,M,1947,Eugene,17
MT,M,1947,Leroy,17
MT,M,1947,Rick,17
MT,M,1947,Earl,16
MT,M,1947,Harry,16
MT,M,1947,Lee,16
MT,M,1947,Ronnie,16
MT,M,1947,Ted,16
MT,M,1947,Allan,15
MT,M,1947,Alvin,15
MT,M,1947,Barry,15
MT,M,1947,Gene,15
MT,M,1947,Henry,15
MT,M,1947,Theodore,15
MT,M,1947,Wesley,15
MT,M,1947,Louis,14
MT,M,1947,Peter,14
MT,M,1947,Scott,14
MT,M,1947,Warren,14
MT,M,1947,Albert,13
MT,M,1947,Dave,13
MT,M,1947,Dean,13
MT,M,1947,Dick,13
MT,M,1947,Tim,13
MT,M,1947,Frederick,12
MT,M,1947,Jeffrey,12
MT,M,1947,Jon,12
MT,M,1947,Philip,12
MT,M,1947,Terrance,12
MT,M,1947,Victor,12
MT,M,1947,Everett,11
MT,M,1947,Leo,11
MT,M,1947,Loren,11
MT,M,1947,Lynn,11
MT,M,1947,Phillip,11
MT,M,1947,Samuel,11
MT,M,1947,Tony,11
MT,M,1947,Arnold,10
MT,M,1947,Chris,10
MT,M,1947,Curtis,10
MT,M,1947,Glen,10
MT,M,1947,Jerome,10
MT,M,1947,Johnny,10
MT,M,1947,Lonnie,10
MT,M,1947,Micheal,10
MT,M,1947,Andrew,9
MT,M,1947,Benjamin,9
MT,M,1947,Clark,9
MT,M,1947,Clinton,9
MT,M,1947,Daryl,9
MT,M,1947,Edwin,9
MT,M,1947,Floyd,9
MT,M,1947,Franklin,9
MT,M,1947,Greg,9
MT,M,1947,Harvey,9
MT,M,1947,Jeff,9
MT,M,1947,Lewis,9
MT,M,1947,Pat,9
MT,M,1947,Ron,9
MT,M,1947,Vernon,9
MT,M,1947,Wallace,9
MT,M,1947,Calvin,8
MT,M,1947,Clyde,8
MT,M,1947,Craig,8
MT,M,1947,Francis,8
MT,M,1947,Jesse,8
MT,M,1947,Lyle,8
MT,M,1947,Alfred,7
MT,M,1947,Anthony,7
MT,M,1947,Bernard,7
MT,M,1947,Bert,7
MT,M,1947,Billy,7
MT,M,1947,Bradley,7
MT,M,1947,Bryan,7
MT,M,1947,Darrel,7
MT,M,1947,Dwight,7
MT,M,1947,Eddie,7
MT,M,1947,Kim,7
MT,M,1947,Lloyd,7
MT,M,1947,Maurice,7
MT,M,1947,Monte,7
MT,M,1947,Ricky,7
MT,M,1947,Ross,7
MT,M,1947,Virgil,7
MT,M,1947,Chester,6
MT,M,1947,Ed,6
MT,M,1947,Garry,6
MT,M,1947,Kenny,6
MT,M,1947,Leon,6
MT,M,1947,Marlin,6
MT,M,1947,Myron,6
MT,M,1947,Neil,6
MT,M,1947,Randall,6
MT,M,1947,Rex,6
MT,M,1947,Tommy,6
MT,M,1947,Art,5
MT,M,1947,Byron,5
MT,M,1947,Cal,5
MT,M,1947,Conrad,5
MT,M,1947,Dana,5
MT,M,1947,Darryl,5
MT,M,1947,Eric,5
MT,M,1947,Gilbert,5
MT,M,1947,Guy,5
MT,M,1947,Ira,5
MT,M,1947,Irvin,5
MT,M,1947,Jimmy,5
MT,M,1947,Ken,5
MT,M,1947,Kerry,5
MT,M,1947,Kevin,5
MT,M,1947,Leland,5
MT,M,1947,Lester,5
MT,M,1947,Monty,5
MT,M,1947,Oscar,5
MT,M,1947,Perry,5
MT,M,1947,Rickey,5
MT,M,1947,Sidney,5
MT,M,1947,Wendell,5
MT,M,1948,Robert,378
MT,M,1948,James,325
MT,M,1948,John,317
MT,M,1948,David,234
MT,M,1948,Richard,230
MT,M,1948,William,221
MT,M,1948,Michael,195
MT,M,1948,Thomas,186
MT,M,1948,Gary,172
MT,M,1948,Larry,138
MT,M,1948,Dennis,131
MT,M,1948,Ronald,131
MT,M,1948,Donald,123
MT,M,1948,Kenneth,114
