StateCode,Sex,YearOfBirth,Name,Number
UT,F,1991,Alison,20
UT,F,1991,Brianne,20
UT,F,1991,Cassidy,20
UT,F,1991,Leslie,20
UT,F,1991,Makenzie,20
UT,F,1991,Marie,20
UT,F,1991,Meagan,20
UT,F,1991,Rachelle,20
UT,F,1991,Tasha,20
UT,F,1991,Aimee,19
UT,F,1991,Chloe,19
UT,F,1991,Hilary,19
UT,F,1991,Jade,19
UT,F,1991,Jenessa,19
UT,F,1991,Karissa,19
UT,F,1991,Kristina,19
UT,F,1991,Mckell,19
UT,F,1991,Shantel,19
UT,F,1991,Angelica,18
UT,F,1991,Candace,18
UT,F,1991,Carissa,18
UT,F,1991,Jacquelyn,18
UT,F,1991,Karlie,18
UT,F,1991,Sharon,18
UT,F,1991,Veronica,18
UT,F,1991,Aubree,17
UT,F,1991,Audrey,17
UT,F,1991,Cheyenne,17
UT,F,1991,Hailee,17
UT,F,1991,Jill,17
UT,F,1991,Kathleen,17
UT,F,1991,Kelsi,17
UT,F,1991,Leah,17
UT,F,1991,Mallory,17
UT,F,1991,Mckenna,17
UT,F,1991,Sasha,17
UT,F,1991,Teresa,17
UT,F,1991,Amelia,16
UT,F,1991,Brandy,16
UT,F,1991,Breanne,16
UT,F,1991,Chantelle,16
UT,F,1991,Cortney,16
UT,F,1991,Diana,16
UT,F,1991,Emilee,16
UT,F,1991,Jenny,16
UT,F,1991,Jessie,16
UT,F,1991,Justine,16
UT,F,1991,Katelin,16
UT,F,1991,Kellie,16
UT,F,1991,Sabrina,16
UT,F,1991,Shelbie,16
UT,F,1991,Allie,15
UT,F,1991,Annie,15
UT,F,1991,Bailee,15
UT,F,1991,Desiree,15
UT,F,1991,Jacqueline,15
UT,F,1991,Jillian,15
UT,F,1991,Kristy,15
UT,F,1991,Lacie,15
UT,F,1991,Linda,15
UT,F,1991,Lydia,15
UT,F,1991,Alex,14
UT,F,1991,Ashlie,14
UT,F,1991,Callie,14
UT,F,1991,Celeste,14
UT,F,1991,Cynthia,14
UT,F,1991,Elise,14
UT,F,1991,Janae,14
UT,F,1991,Karen,14
UT,F,1991,Karlee,14
UT,F,1991,Karli,14
UT,F,1991,Kenzie,14
UT,F,1991,Kiersten,14
UT,F,1991,Kortney,14
UT,F,1991,Maria,14
UT,F,1991,Ruth,14
UT,F,1991,Ann,13
UT,F,1991,Cami,13
UT,F,1991,Carli,13
UT,F,1991,Kailey,13
UT,F,1991,Kaylie,13
UT,F,1991,Kristi,13
UT,F,1991,Mccall,13
UT,F,1991,Misty,13
UT,F,1991,Molly,13
UT,F,1991,Adriana,12
UT,F,1991,Allyson,12
UT,F,1991,Alycia,12
UT,F,1991,Grace,12
UT,F,1991,Jaclyn,12
UT,F,1991,Janelle,12
UT,F,1991,Kami,12
UT,F,1991,Keisha,12
UT,F,1991,Margaret,12
UT,F,1991,Marisa,12
UT,F,1991,Melinda,12
UT,F,1991,Tia,12
UT,F,1991,Valerie,12
UT,F,1991,Ashleigh,11
UT,F,1991,Autumn,11
UT,F,1991,Brittani,11
UT,F,1991,Carlie,11
UT,F,1991,Casey,11
UT,F,1991,Jaycee,11
UT,F,1991,Jocelyn,11
UT,F,1991,Kate,11
UT,F,1991,Kaycee,11
UT,F,1991,Kayli,11
UT,F,1991,Kelsee,11
UT,F,1991,Kiley,11
UT,F,1991,Kori,11
UT,F,1991,Kristine,11
UT,F,1991,Robin,11
UT,F,1991,Shaylynn,11
UT,F,1991,Tayler,11
UT,F,1991,Tess,11
UT,F,1991,Tiffani,11
UT,F,1991,Toni,11
UT,F,1991,Tori,11
UT,F,1991,Trisha,11
UT,F,1991,Ashton,10
UT,F,1991,Bianca,10
UT,F,1991,Carrie,10
UT,F,1991,Clarissa,10
UT,F,1991,Corinne,10
UT,F,1991,Haylee,10
UT,F,1991,Hollie,10
UT,F,1991,Jennie,10
UT,F,1991,Josie,10
UT,F,1991,Kali,10
UT,F,1991,Kalie,10
UT,F,1991,Keri,10
UT,F,1991,Kimberlee,10
UT,F,1991,Lacy,10
UT,F,1991,Meredith,10
UT,F,1991,Randi,10
UT,F,1991,Robyn,10
UT,F,1991,Shantell,10
UT,F,1991,Stacey,10
UT,F,1991,Tiana,10
UT,F,1991,Abby,9
UT,F,1991,Alissa,9
UT,F,1991,Alysha,9
UT,F,1991,Bonnie,9
UT,F,1991,Caitlyn,9
UT,F,1991,Elisabeth,9
UT,F,1991,Jane,9
UT,F,1991,Joanna,9
UT,F,1991,Jordyn,9
UT,F,1991,Kamille,9
UT,F,1991,Kassandra,9
UT,F,1991,Kyra,9
UT,F,1991,Marci,9
UT,F,1991,Mikayla,9
UT,F,1991,Mikelle,9
UT,F,1991,Raquel,9
UT,F,1991,Rylee,9
UT,F,1991,Shanae,9
UT,F,1991,Shanna,9
UT,F,1991,Terra,9
UT,F,1991,Adrianna,8
UT,F,1991,Adrienne,8
UT,F,1991,Alexandrea,8
UT,F,1991,Alix,8
UT,F,1991,Angelina,8
UT,F,1991,Arielle,8
UT,F,1991,Ashly,8
UT,F,1991,Ashlyn,8
UT,F,1991,Brenda,8
UT,F,1991,Brenna,8
UT,F,1991,Brittanie,8
UT,F,1991,Brynne,8
UT,F,1991,Carlee,8
UT,F,1991,Caroline,8
UT,F,1991,Cassi,8
UT,F,1991,Cheryl,8
UT,F,1991,Ciara,8
UT,F,1991,Cierra,8
UT,F,1991,Cristal,8
UT,F,1991,Deanna,8
UT,F,1991,Deborah,8
UT,F,1991,Eva,8
UT,F,1991,Hope,8
UT,F,1991,Jaimie,8
UT,F,1991,Jennica,8
UT,F,1991,Kacie,8
UT,F,1991,Karly,8
UT,F,1991,Kirstie,8
UT,F,1991,Laci,8
UT,F,1991,Larissa,8
UT,F,1991,Leticia,8
UT,F,1991,Lyndsey,8
UT,F,1991,Madeleine,8
UT,F,1991,Maranda,8
UT,F,1991,Mckenzi,8
UT,F,1991,Mindy,8
UT,F,1991,Monique,8
UT,F,1991,Moriah,8
UT,F,1991,Myranda,8
UT,F,1991,Nancy,8
UT,F,1991,Natalia,8
UT,F,1991,Nikki,8
UT,F,1991,Sage,8
UT,F,1991,Shelbi,8
UT,F,1991,Sidney,8
UT,F,1991,Stacie,8
UT,F,1991,Stacy,8
UT,F,1991,Stevie,8
UT,F,1991,Summer,8
UT,F,1991,Taryn,8
UT,F,1991,Tracy,8
UT,F,1991,Virginia,8
UT,F,1991,Ali,7
UT,F,1991,Alisa,7
UT,F,1991,Amberlee,7
UT,F,1991,Angel,7
UT,F,1991,Barbara,7
UT,F,1991,Baylee,7
UT,F,1991,Brandie,7
UT,F,1991,Breeanna,7
UT,F,1991,Bridget,7
UT,F,1991,Bridgette,7
UT,F,1991,Brynn,7
UT,F,1991,Carley,7
UT,F,1991,Chante,7
UT,F,1991,Charity,7
UT,F,1991,Charlotte,7
UT,F,1991,Chelsi,7
UT,F,1991,Claire,7
UT,F,1991,Destiny,7
UT,F,1991,Dominique,7
UT,F,1991,Felisha,7
UT,F,1991,Gabriela,7
UT,F,1991,Gina,7
UT,F,1991,Jaime,7
UT,F,1991,Kacey,7
UT,F,1991,Kailee,7
UT,F,1991,Kallie,7
UT,F,1991,Kassidy,7
UT,F,1991,Kelcie,7
UT,F,1991,Kenna,7
UT,F,1991,Kirstin,7
UT,F,1991,Kyla,7
UT,F,1991,Lara,7
UT,F,1991,Laurel,7
UT,F,1991,Lillian,7
UT,F,1991,Lorena,7
UT,F,1991,Mandy,7
UT,F,1991,Martha,7
UT,F,1991,Nikole,7
UT,F,1991,Rikki,7
UT,F,1991,Riley,7
UT,F,1991,Shaylyn,7
UT,F,1991,Sophia,7
UT,F,1991,Staci,7
UT,F,1991,Tanya,7
UT,F,1991,Tonya,7
UT,F,1991,Wendy,7
UT,F,1991,Alina,6
UT,F,1991,Alyson,6
UT,F,1991,Ana,6
UT,F,1991,Andie,6
UT,F,1991,Angelia,6
UT,F,1991,Annika,6
UT,F,1991,Arianna,6
UT,F,1991,Asia,6
UT,F,1991,Breann,6
UT,F,1991,Cara,6
UT,F,1991,Carmen,6
UT,F,1991,Cassidi,6
UT,F,1991,Cecilia,6
UT,F,1991,Chandra,6
UT,F,1991,Dakota,6
UT,F,1991,Dana,6
UT,F,1991,Darcy,6
UT,F,1991,Deja,6
UT,F,1991,Demi,6
UT,F,1991,Devan,6
UT,F,1991,Donna,6
UT,F,1991,Elisa,6
UT,F,1991,Elissa,6
UT,F,1991,Eryn,6
UT,F,1991,Halie,6
UT,F,1991,Haylie,6
UT,F,1991,Jenifer,6
UT,F,1991,Jentry,6
UT,F,1991,Kaila,6
UT,F,1991,Kari,6
UT,F,1991,Karley,6
UT,F,1991,Kelsy,6
UT,F,1991,Kiera,6
UT,F,1991,Kimber,6
UT,F,1991,Kristie,6
UT,F,1991,Krysta,6
UT,F,1991,Lexie,6
UT,F,1991,Lori,6
UT,F,1991,Lucy,6
UT,F,1991,Maddison,6
UT,F,1991,Makayla,6
UT,F,1991,Meranda,6
UT,F,1991,Michaela,6
UT,F,1991,Natalee,6
UT,F,1991,Roxanne,6
UT,F,1991,Sandra,6
UT,F,1991,Shandi,6
UT,F,1991,Shawnee,6
UT,F,1991,Sienna,6
UT,F,1991,Susan,6
UT,F,1991,Tamara,6
UT,F,1991,Tatiana,6
UT,F,1991,Tawny,6
UT,F,1991,Theresa,6
UT,F,1991,Tiffanie,6
UT,F,1991,Tricia,6
UT,F,1991,Whitley,6
UT,F,1991,Yolanda,6
UT,F,1991,Adrian,5
UT,F,1991,Alecia,5
UT,F,1991,Alesha,5
UT,F,1991,Alexi,5
UT,F,1991,Alice,5
UT,F,1991,Ariana,5
UT,F,1991,Aspen,5
UT,F,1991,Beth,5
UT,F,1991,Bobbi,5
UT,F,1991,Breana,5
UT,F,1991,Bree,5
UT,F,1991,Brittnee,5
UT,F,1991,Brittnie,5
UT,F,1991,Brooklyn,5
UT,F,1991,Carina,5
UT,F,1991,Chanelle,5
UT,F,1991,Chantal,5
UT,F,1991,Ciera,5
UT,F,1991,Cindy,5
UT,F,1991,Colleen,5
UT,F,1991,Connie,5
UT,F,1991,Cori,5
UT,F,1991,Cristina,5
UT,F,1991,Danica,5
UT,F,1991,Dayna,5
UT,F,1991,Debra,5
UT,F,1991,Eliza,5
UT,F,1991,Elyssa,5
UT,F,1991,Genevieve,5
UT,F,1991,Gentry,5
UT,F,1991,Hanna,5
UT,F,1991,Helen,5
UT,F,1991,Jackie,5
UT,F,1991,Jami,5
UT,F,1991,Jazmine,5
UT,F,1991,Jesse,5
UT,F,1991,Justina,5
UT,F,1991,Kacee,5
UT,F,1991,Kaley,5
UT,F,1991,Kandace,5
UT,F,1991,Karina,5
UT,F,1991,Karisa,5
UT,F,1991,Kasandra,5
UT,F,1991,Kasey,5
UT,F,1991,Katlyn,5
UT,F,1991,Keely,5
UT,F,1991,Kilee,5
UT,F,1991,Laurie,5
UT,F,1991,Leesa,5
UT,F,1991,Leigh,5
UT,F,1991,Linsey,5
UT,F,1991,Malinda,5
UT,F,1991,Maren,5
UT,F,1991,Maryann,5
UT,F,1991,Mckayla,5
UT,F,1991,Mckinzie,5
UT,F,1991,Merissa,5
UT,F,1991,Miriam,5
UT,F,1991,Nicolette,5
UT,F,1991,Nina,5
UT,F,1991,Noelle,5
UT,F,1991,Paula,5
UT,F,1991,Renee,5
UT,F,1991,Rochelle,5
UT,F,1991,Sariah,5
UT,F,1991,Shaelyn,5
UT,F,1991,Shaelynn,5
UT,F,1991,Shalee,5
UT,F,1991,Shauna,5
UT,F,1991,Stacia,5
UT,F,1991,Stefani,5
UT,F,1991,Stefanie,5
UT,F,1991,Sydnee,5
UT,F,1991,Sylvia,5
UT,F,1991,Tashina,5
UT,F,1991,Tasia,5
UT,F,1991,Tawnya,5
UT,F,1991,Tera,5
UT,F,1991,Tianna,5
UT,F,1991,Tina,5
UT,F,1991,Trina,5
UT,F,1991,Tristan,5
UT,F,1991,Yvonne,5
UT,F,1992,Jessica,447
UT,F,1992,Ashley,317
UT,F,1992,Sarah,261
UT,F,1992,Samantha,220
UT,F,1992,Megan,211
UT,F,1992,Emily,201
UT,F,1992,Rachel,199
UT,F,1992,Amanda,190
UT,F,1992,Nicole,150
UT,F,1992,Chelsea,146
UT,F,1992,Taylor,143
UT,F,1992,Whitney,141
UT,F,1992,Kelsey,135
UT,F,1992,Danielle,129
UT,F,1992,Shelby,128
UT,F,1992,Alexis,122
UT,F,1992,Elizabeth,122
UT,F,1992,Brittany,119
UT,F,1992,Jennifer,117
UT,F,1992,Madison,117
UT,F,1992,Melissa,116
UT,F,1992,Stephanie,116
UT,F,1992,Brooke,111
UT,F,1992,Alyssa,108
UT,F,1992,Rebecca,108
UT,F,1992,Heather,107
UT,F,1992,Lauren,106
UT,F,1992,Courtney,102
UT,F,1992,Amber,98
UT,F,1992,Mckenzie,97
UT,F,1992,Natalie,97
UT,F,1992,Kaitlyn,92
UT,F,1992,Kimberly,89
UT,F,1992,Hannah,87
UT,F,1992,Katelyn,84
UT,F,1992,Kayla,83
UT,F,1992,Katie,81
UT,F,1992,Morgan,81
UT,F,1992,Sara,81
UT,F,1992,Tiffany,79
UT,F,1992,Andrea,78
UT,F,1992,Jordan,77
UT,F,1992,Lindsey,77
UT,F,1992,Alexandra,75
UT,F,1992,Erin,75
UT,F,1992,Katherine,74
UT,F,1992,Michelle,74
UT,F,1992,Ashlee,72
UT,F,1992,Amy,71
UT,F,1992,Aubrey,66
UT,F,1992,Laura,64
UT,F,1992,Mary,64
UT,F,1992,Haley,62
UT,F,1992,Mariah,62
UT,F,1992,Kylee,61
UT,F,1992,Paige,61
UT,F,1992,Jamie,60
UT,F,1992,Kylie,60
UT,F,1992,Anna,59
UT,F,1992,Brianna,58
UT,F,1992,Brittney,58
UT,F,1992,Cassandra,57
UT,F,1992,Victoria,54
UT,F,1992,Lindsay,53
UT,F,1992,Sierra,53
UT,F,1992,Caitlin,51
UT,F,1992,Chelsey,51
UT,F,1992,Mackenzie,51
UT,F,1992,Marissa,51
UT,F,1992,Hillary,50
UT,F,1992,Sydney,50
UT,F,1992,Camille,49
UT,F,1992,Christina,48
UT,F,1992,Allison,47
UT,F,1992,Miranda,47
UT,F,1992,Angela,46
UT,F,1992,Erika,46
UT,F,1992,Kaylee,46
UT,F,1992,Kristen,46
UT,F,1992,Breanna,45
UT,F,1992,Shannon,45
UT,F,1992,Crystal,44
UT,F,1992,Lisa,44
UT,F,1992,Carly,43
UT,F,1992,Heidi,42
UT,F,1992,Holly,41
UT,F,1992,Kaitlin,41
UT,F,1992,Jasmine,40
UT,F,1992,Kathryn,40
UT,F,1992,Natasha,40
UT,F,1992,Rachael,40
UT,F,1992,Abigail,39
UT,F,1992,Alicia,39
UT,F,1992,Ariel,39
UT,F,1992,Hailey,39
UT,F,1992,Maria,39
UT,F,1992,Mckenna,38
UT,F,1992,Brandi,37
UT,F,1992,Lacey,37
UT,F,1992,Catherine,36
UT,F,1992,Gabrielle,36
UT,F,1992,Julia,36
UT,F,1992,Erica,35
UT,F,1992,Kelsie,35
UT,F,1992,Shaylee,35
UT,F,1992,Bailey,34
UT,F,1992,Krystal,34
UT,F,1992,Hilary,33
UT,F,1992,Melanie,33
UT,F,1992,Vanessa,33
UT,F,1992,Jenna,32
UT,F,1992,Alexandria,31
UT,F,1992,Chelsie,30
UT,F,1992,Alisha,29
UT,F,1992,Julie,29
UT,F,1992,Kara,29
UT,F,1992,Shayla,29
UT,F,1992,Katrina,28
UT,F,1992,Krista,28
UT,F,1992,Kristina,27
UT,F,1992,Olivia,27
UT,F,1992,Alexa,26
UT,F,1992,Felicia,26
UT,F,1992,Jade,26
UT,F,1992,Makenzie,26
UT,F,1992,Cassidy,25
UT,F,1992,Kendra,25
UT,F,1992,Savannah,25
UT,F,1992,April,24
UT,F,1992,Emma,24
UT,F,1992,Meghan,24
UT,F,1992,Monica,24
UT,F,1992,Sadie,24
UT,F,1992,Anne,23
UT,F,1992,Candice,23
UT,F,1992,Madeline,23
UT,F,1992,Mallory,23
UT,F,1992,Nichole,23
UT,F,1992,Caitlyn,22
UT,F,1992,Chloe,22
UT,F,1992,Kelly,22
UT,F,1992,Meagan,22
UT,F,1992,Breanne,21
UT,F,1992,Briana,21
UT,F,1992,Carissa,21
UT,F,1992,Cassie,21
UT,F,1992,Jessie,21
UT,F,1992,Karli,21
UT,F,1992,Kira,21
UT,F,1992,Kirsten,21
UT,F,1992,Veronica,21
UT,F,1992,Amelia,20
UT,F,1992,Ashlie,20
UT,F,1992,Britney,20
UT,F,1992,Chantel,20
UT,F,1992,Karissa,20
UT,F,1992,Karlee,20
UT,F,1992,Leah,20
UT,F,1992,Melinda,20
UT,F,1992,Tori,20
UT,F,1992,Alex,19
UT,F,1992,Annie,19
UT,F,1992,Candace,19
UT,F,1992,Elisabeth,19
UT,F,1992,Hayley,19
UT,F,1992,Kellie,19
UT,F,1992,Margaret,19
UT,F,1992,Shelbie,19
UT,F,1992,Aimee,18
UT,F,1992,Cheyenne,18
UT,F,1992,Christine,18
UT,F,1992,Elise,18
UT,F,1992,Janessa,18
UT,F,1992,Tara,18
UT,F,1992,Autumn,17
UT,F,1992,Bethany,17
UT,F,1992,Karen,17
UT,F,1992,Molly,17
UT,F,1992,Patricia,17
UT,F,1992,Sabrina,17
UT,F,1992,Tessa,17
UT,F,1992,Valerie,17
UT,F,1992,Abby,16
UT,F,1992,Cynthia,16
UT,F,1992,Kelsi,16
UT,F,1992,Kristin,16
UT,F,1992,Rebekah,16
UT,F,1992,Ana,15
UT,F,1992,Ashleigh,15
UT,F,1992,Brooklyn,15
UT,F,1992,Carlee,15
UT,F,1992,Carrie,15
UT,F,1992,Diana,15
UT,F,1992,Emilee,15
UT,F,1992,Haylee,15
UT,F,1992,Jacqueline,15
UT,F,1992,Jenny,15
UT,F,1992,Karlie,15
UT,F,1992,Kathleen,15
UT,F,1992,Kelsee,15
UT,F,1992,Mercedes,15
UT,F,1992,Rachelle,15
UT,F,1992,Alison,14
UT,F,1992,Aubree,14
UT,F,1992,Audrey,14
UT,F,1992,Callie,14
UT,F,1992,Clarissa,14
UT,F,1992,Destiny,14
UT,F,1992,Ellen,14
UT,F,1992,Hailee,14
UT,F,1992,Jenessa,14
UT,F,1992,Kiley,14
UT,F,1992,Kimberlee,14
UT,F,1992,Lydia,14
UT,F,1992,Monique,14
UT,F,1992,Alissa,13
UT,F,1992,Carlie,13
UT,F,1992,Caroline,13
UT,F,1992,Ciara,13
UT,F,1992,Dakota,13
UT,F,1992,Hanna,13
UT,F,1992,Janelle,13
UT,F,1992,Jordyn,13
UT,F,1992,Kate,13
UT,F,1992,Kelli,13
UT,F,1992,Marina,13
UT,F,1992,Savanna,13
UT,F,1992,Sharon,13
UT,F,1992,Sidney,13
UT,F,1992,Tasha,13
UT,F,1992,Alexandrea,12
UT,F,1992,Allyson,12
UT,F,1992,Bianca,12
UT,F,1992,Brandy,12
UT,F,1992,Breann,12
UT,F,1992,Chandler,12
UT,F,1992,Chantelle,12
UT,F,1992,Esther,12
UT,F,1992,Jaclyn,12
UT,F,1992,Jocelyn,12
UT,F,1992,Kailey,12
UT,F,1992,Kasey,12
UT,F,1992,Kaycee,12
UT,F,1992,Kortney,12
UT,F,1992,Lacie,12
UT,F,1992,Marie,12
UT,F,1992,Naomi,12
UT,F,1992,Tiana,12
UT,F,1992,Alisa,11
UT,F,1992,Ashlyn,11
UT,F,1992,Bailee,11
UT,F,1992,Brittani,11
UT,F,1992,Demi,11
UT,F,1992,Desiree,11
UT,F,1992,Dominique,11
UT,F,1992,Eliza,11
UT,F,1992,Gabriella,11
UT,F,1992,Justine,11
UT,F,1992,Kami,11
UT,F,1992,Katelin,11
UT,F,1992,Kiersten,11
UT,F,1992,Kristy,11
UT,F,1992,Leslie,11
UT,F,1992,Mccall,11
UT,F,1992,Mckell,11
UT,F,1992,Summer,11
UT,F,1992,Tamara,11
UT,F,1992,Tayler,11
UT,F,1992,Teresa,11
UT,F,1992,Tiffani,11
UT,F,1992,Allie,10
UT,F,1992,Anastasia,10
UT,F,1992,Aubrie,10
UT,F,1992,Baylee,10
UT,F,1992,Brenda,10
UT,F,1992,Camilla,10
UT,F,1992,Carli,10
UT,F,1992,Claire,10
UT,F,1992,Dallas,10
UT,F,1992,Grace,10
UT,F,1992,Jaycee,10
UT,F,1992,Jessika,10
UT,F,1992,Kaylie,10
UT,F,1992,Kristine,10
UT,F,1992,Makayla,10
UT,F,1992,Misty,10
UT,F,1992,Raquel,10
UT,F,1992,Riley,10
UT,F,1992,Robin,10
UT,F,1992,Robyn,10
UT,F,1992,Rylee,10
UT,F,1992,Sandra,10
UT,F,1992,Sasha,10
UT,F,1992,Shayna,10
UT,F,1992,Stacey,10
UT,F,1992,Stacy,10
UT,F,1992,Tia,10
UT,F,1992,Tina,10
UT,F,1992,Trisha,10
UT,F,1992,Adrienne,9
UT,F,1992,Angelica,9
UT,F,1992,Brenna,9
UT,F,1992,Brittni,9
UT,F,1992,Celeste,9
UT,F,1992,Charity,9
UT,F,1992,Cierra,9
UT,F,1992,Corinne,9
UT,F,1992,Eden,9
UT,F,1992,Gina,9
UT,F,1992,Kallie,9
UT,F,1992,Karly,9
UT,F,1992,Kiana,9
UT,F,1992,Kristi,9
UT,F,1992,Lacy,9
UT,F,1992,Maddison,9
UT,F,1992,Marisa,9
UT,F,1992,Natalia,9
UT,F,1992,Randi,9
UT,F,1992,Sariah,9
UT,F,1992,Shantel,9
UT,F,1992,Shelbi,9
UT,F,1992,Tess,9
UT,F,1992,Tiffanie,9
UT,F,1992,Tyler,9
UT,F,1992,Wendy,9
UT,F,1992,Abbey,8
UT,F,1992,Alyson,8
UT,F,1992,Anita,8
UT,F,1992,Ariana,8
UT,F,1992,Arianna,8
UT,F,1992,Brianne,8
UT,F,1992,Bridget,8
UT,F,1992,Britany,8
UT,F,1992,Cami,8
UT,F,1992,Carmen,8
UT,F,1992,Carolyn,8
UT,F,1992,Cecilia,8
UT,F,1992,Cheyanne,8
UT,F,1992,Dayna,8
UT,F,1992,Faith,8
UT,F,1992,Gabriela,8
UT,F,1992,Gentry,8
UT,F,1992,Jane,8
UT,F,1992,Josie,8
UT,F,1992,Kassidy,8
UT,F,1992,Keri,8
UT,F,1992,Kiera,8
UT,F,1992,Kyla,8
UT,F,1992,Lacee,8
UT,F,1992,Larissa,8
UT,F,1992,Laurel,8
UT,F,1992,Lori,8
UT,F,1992,Maggie,8
UT,F,1992,Martha,8
UT,F,1992,Mikelle,8
UT,F,1992,Mindy,8
UT,F,1992,Rikki,8
UT,F,1992,Shaelyn,8
UT,F,1992,Shanna,8
UT,F,1992,Stacie,8
UT,F,1992,Sydnee,8
UT,F,1992,Taryn,8
UT,F,1992,Tasia,8
UT,F,1992,Zoe,8
UT,F,1992,Abbie,7
UT,F,1992,Alysha,7
UT,F,1992,Angelina,7
UT,F,1992,Arielle,7
UT,F,1992,Aspen,7
UT,F,1992,Ciera,7
UT,F,1992,Dana,7
UT,F,1992,Danica,7
UT,F,1992,Desirae,7
UT,F,1992,Emilie,7
UT,F,1992,Ericka,7
UT,F,1992,Felisha,7
UT,F,1992,Halie,7
UT,F,1992,Harmony,7
UT,F,1992,Hope,7
UT,F,1992,Jacey,7
UT,F,1992,Jackie,7
UT,F,1992,Jazmin,7
UT,F,1992,Jenifer,7
UT,F,1992,Julianne,7
UT,F,1992,Kailee,7
UT,F,1992,Kali,7
UT,F,1992,Kandice,7
UT,F,1992,Kari,7
UT,F,1992,Kassie,7
UT,F,1992,Katelynn,7
UT,F,1992,Katharine,7
UT,F,1992,Katy,7
UT,F,1992,Kayley,7
UT,F,1992,Keisha,7
UT,F,1992,Kennedy,7
UT,F,1992,Kenzie,7
UT,F,1992,Kimber,7
UT,F,1992,Kori,7
UT,F,1992,Kourtney,7
UT,F,1992,Madeleine,7
UT,F,1992,Madisen,7
UT,F,1992,Michaela,7
UT,F,1992,Nikki,7
UT,F,1992,Ruth,7
UT,F,1992,Serena,7
UT,F,1992,Shalee,7
UT,F,1992,Shaylie,7
UT,F,1992,Shyanne,7
UT,F,1992,Susan,7
UT,F,1992,Sydni,7
UT,F,1992,Tabitha,7
UT,F,1992,Tanisha,7
UT,F,1992,Tanya,7
UT,F,1992,Tawni,7
UT,F,1992,Toni,7
UT,F,1992,Tonya,7
UT,F,1992,Adriana,6
UT,F,1992,Alecia,6
UT,F,1992,Alexia,6
UT,F,1992,Allysa,6
UT,F,1992,Alma,6
UT,F,1992,Angel,6
UT,F,1992,Ann,6
UT,F,1992,Blake,6
UT,F,1992,Bonnie,6
UT,F,1992,Bree,6
UT,F,1992,Brook,6
UT,F,1992,Cara,6
UT,F,1992,Carina,6
UT,F,1992,Carley,6
UT,F,1992,Carol,6
UT,F,1992,Chanel,6
UT,F,1992,Chante,6
UT,F,1992,Chelsee,6
UT,F,1992,Cindy,6
UT,F,1992,Danika,6
UT,F,1992,Deanna,6
UT,F,1992,Devyn,6
UT,F,1992,Genevieve,6
UT,F,1992,Georgia,6
UT,F,1992,Gloria,6
UT,F,1992,Halee,6
UT,F,1992,Jacklyn,6
UT,F,1992,Janie,6
UT,F,1992,Jenica,6
UT,F,1992,Jill,6
UT,F,1992,Jodi,6
UT,F,1992,Joelle,6
UT,F,1992,Kacey,6
UT,F,1992,Kassandra,6
UT,F,1992,Kelsea,6
UT,F,1992,Kirstie,6
UT,F,1992,Krysta,6
UT,F,1992,Krystle,6
UT,F,1992,Lara,6
UT,F,1992,Lexi,6
UT,F,1992,Linda,6
UT,F,1992,Lyndsey,6
UT,F,1992,Marci,6
UT,F,1992,Marlee,6
UT,F,1992,Mckayla,6
UT,F,1992,Melody,6
UT,F,1992,Mikaela,6
UT,F,1992,Nancy,6
UT,F,1992,Nicolette,6
UT,F,1992,Pamela,6
UT,F,1992,Ruby,6
UT,F,1992,Shanae,6
UT,F,1992,Shari,6
UT,F,1992,Shauna,6
UT,F,1992,Shawna,6
UT,F,1992,Shawnee,6
UT,F,1992,Shayli,6
UT,F,1992,Sophia,6
UT,F,1992,Stefanie,6
UT,F,1992,Suzanne,6
UT,F,1992,Taisha,6
UT,F,1992,Tausha,6
UT,F,1992,Tianna,6
UT,F,1992,Trista,6
UT,F,1992,Vivian,6
UT,F,1992,Alexus,5
UT,F,1992,Alice,5
UT,F,1992,Alix,5
UT,F,1992,Amberly,5
UT,F,1992,Antonia,5
UT,F,1992,Audra,5
UT,F,1992,Breana,5
UT,F,1992,Brielle,5
UT,F,1992,Britnee,5
UT,F,1992,Brittnie,5
UT,F,1992,Bryanna,5
UT,F,1992,Calli,5
UT,F,1992,Casandra,5
UT,F,1992,Casey,5
UT,F,1992,Chandra,5
UT,F,1992,Chelsy,5
UT,F,1992,Connie,5
UT,F,1992,Cristina,5
UT,F,1992,Cydney,5
UT,F,1992,Denise,5
UT,F,1992,Devin,5
UT,F,1992,Dylan,5
UT,F,1992,Eryn,5
UT,F,1992,Gabriel,5
UT,F,1992,Helen,5
UT,F,1992,Jaime,5
UT,F,1992,Janet,5
UT,F,1992,Janice,5
UT,F,1992,Jayme,5
UT,F,1992,Jeanette,5
UT,F,1992,Jena,5
UT,F,1992,Jennie,5
UT,F,1992,Jesse,5
UT,F,1992,Joanna,5
UT,F,1992,Jordann,5
UT,F,1992,Josephine,5
UT,F,1992,Kacie,5
UT,F,1992,Kadee,5
UT,F,1992,Kaitlynn,5
UT,F,1992,Kalee,5
UT,F,1992,Kaleigh,5
UT,F,1992,Kandace,5
UT,F,1992,Karina,5
UT,F,1992,Katarina,5
UT,F,1992,Kathy,5
UT,F,1992,Katlyn,5
UT,F,1992,Kayli,5
UT,F,1992,Keeley,5
UT,F,1992,Kelcee,5
UT,F,1992,Kenna,5
